Ballhandler Defender,Picks,Picks Per 100 Possessions,Direct Picks,qSQ,Points Per Chance,Points Per Direct,SSI Player ID
Terrell Brown Jr.,373,14.363,263,46.80,0.894,0.921,0784aa6d-2f58-4e8f-8fd0-d3cb2fd08ff8
Max Abmas,360,12.770,220,52.24,1.019,1.047,23961594-cb8d-4560-b709-2ace5a6b16a4
Jaden Akins,353,12.198,208,48.98,0.906,0.847,e6acbf72-2032-4b3f-9672-62f8052c1873
Hayden Gray,345,12.670,213,52.35,0.853,0.879,e901ec95-f7cf-40c9-af32-8dabb981b3cd
Jayden Nunn,334,12.416,212,46.86,0.862,0.980,174b4cc1-dd31-428b-97ad-093422ffe324
Kennedy Chandler,312,10.179,215,50.03,0.855,0.906,90cef14e-ebcc-4a00-94e1-b06d8ca04701
Mark Sears,311,12.878,216,49.07,0.930,0.980,6af77143-6aac-4199-ac80-bfa704e2ca51
Boo Buie III,305,10.916,184,52.69,0.941,0.920,2327ad6b-a87c-4b5c-8dbb-c64690426e98
Darius Brown,297,9.495,196,50.27,0.917,0.938,b7ae8764-a482-4551-82ac-7a91c8292e4b
Justin Harmon,288,13.229,172,49.81,1.020,1.106,4c8abee4-0270-4d98-b4ab-cff9969857fc
Jalen Crutcher,286,8.607,186,48.64,0.976,0.914,938ea26e-95ff-4f3b-a385-a965af8195b4
Taevion Kinsey,281,8.828,189,49.99,0.881,0.864,b17e9b18-8167-47ec-b96c-1a1c88208376
Mac McClung,278,9.011,188,51.54,0.935,0.859,d9671fc0-754d-4cd1-b61d-2f6526c31497
Trey Alexander,258,9.482,167,49.14,0.929,0.944,eae5a4b1-2701-4843-b7ed-ac8677e6446b
Sean East II,258,8.574,166,51.78,0.914,1.000,673bd14c-085f-4173-9211-d62ae307b0e3
Cameron Hildreth,253,12.849,160,54.04,1.009,0.993,2c4cbc5a-83fe-4562-afdd-859499b77aa5
Anthony Pritchard,252,11.326,144,46.69,0.886,0.874,58d7789a-e4bc-46cd-91d5-01526491d417
Dexter Dennis,251,8.572,166,46.56,0.974,1.094,b9d78738-9b74-4fdb-9c3f-bce9cb72377a
RayJ Dennis,248,9.168,148,54.47,1.243,1.340,5c2a5944-cadb-4619-8b0d-04338c63a470
Reece Beekman,247,8.679,147,52.12,0.909,0.899,a419b920-f119-41d8-af53-47d3b49ea811
James Bouknight,247,8.645,137,49.62,0.927,1.008,a4bca3d5-c8c6-408f-a4bf-22453062b4b9
Saint Thomas,239,9.771,153,49.40,1.010,1.062,9ac60fc8-a677-4c67-8b1a-92c61ac71eec
Ahmad Caver,239,12.213,147,48.82,0.860,0.741,b37bbd3b-102d-42c2-9bfe-7874d64e9068
Chance McMillian,239,13.168,168,49.99,1.009,0.987,d40fdb50-4ea9-488f-85e3-aa57164f9d0a
Malachi Smith,238,11.924,130,47.70,0.893,0.959,cf11631f-67ad-4f08-9466-e66859baa68e
James Akinjo,236,13.053,152,48.64,0.961,1.035,889010b1-1e41-4488-97c5-030be0d70083
Marcus Garrett,235,12.189,151,49.44,1.000,1.007,723b0c0c-ac5b-4b0c-b84c-01da7be6c705
Hunter Sallis,235,11.845,144,55.40,1.028,0.971,6d6c60fb-827b-4b00-9033-8fb8a4fb0f32
Charlie Brown Jr.,233,7.829,127,47.52,0.856,0.926,dfa6209b-514d-438b-9c4c-bd6f1ff85613
Alex Schumacher,231,15.258,145,50.86,0.995,0.963,74b58589-0ca1-4a71-ac83-93c57a2e8b83
Au'Diese Toney,226,12.236,140,50.21,0.798,0.857,a127ee52-bbec-46b6-990c-93a2c3d57b87
Toby Okani,226,11.620,146,46.22,1.120,1.103,a6c4645d-9238-44cf-92aa-fd318ebb8ebf
Jahmir Young,224,10.205,129,47.61,0.985,0.992,dc80c41d-ab1d-4aa4-be9f-8830d7e0dd62
Jahmyl Telfort,223,7.238,137,50.42,0.860,0.883,f7cdd34f-d626-4902-b05a-e39f9ae32dd4
Damion Baugh,221,8.876,149,49.28,1.109,1.152,bcde43ef-a7dd-4d4d-9d7e-a0585052e0b9
Jaelen House,220,13.439,132,56.19,1.051,1.057,e14de0fe-50fa-4322-a5a2-55cb2137e6f2
Chris Manon,220,8.641,144,46.38,0.741,0.837,5dde0a80-753d-41a6-9ffa-6193317a3a17
A.J. Lawson,219,9.252,134,48.41,0.924,0.825,ed39e2d6-ce65-43e5-9ea9-d579d0526a1f
Jaylen Sims,218,7.646,150,49.59,1.066,1.055,4e475993-d453-43ef-a5dc-52e715e3e5db
Stanley Umude,217,7.781,149,47.68,1.000,0.986,73712bb9-3143-4176-8eb3-cef6d45e9f92
Alijah Martin,213,8.813,137,45.32,0.901,0.915,c1035422-a088-42e6-8ad3-db400bb52aa1
Jarkel Joiner,212,9.266,139,50.43,0.945,1.008,994212e5-17be-4696-bd46-0efcd68787bc
Bez Mbeng,212,9.233,127,47.71,0.858,0.881,117522bd-3f51-4ef9-99ae-8cf060df132b
Trey McGowens,210,15.021,134,47.11,0.911,1.024,a17cb8d2-4fe7-49a1-b4b9-e56f6316d694
