Ballhandler Defender,Drives,Drives Per Game,% Blowby,qSQ,qSP,Points Per Possession,SSI Player ID
Terrell Brown Jr.,426,8.875,19.48,47.42,47.33,1.195,0784aa6d-2f58-4e8f-8fd0-d3cb2fd08ff8
Hayden Gray,419,8.729,27.21,50.45,50.63,1.217,e901ec95-f7cf-40c9-af32-8dabb981b3cd
Curtis Jones,392,9.561,19.39,49.02,49.23,1.245,69489a71-b1eb-4fde-b687-6385e03c1e49
Jalen Crutcher,379,7.896,18.47,47.66,47.71,1.214,938ea26e-95ff-4f3b-a385-a965af8195b4
Tristen Newton,379,7.896,26.65,49.58,49.40,1.170,ea2c60f4-30d3-4154-b99e-b907b24658bf
Stephen Thompson,370,8.810,20.54,49.10,49.03,1.069,41e105ed-f146-4aef-a65b-262abde1841e
Max Shulga,365,9.359,23.84,48.13,48.04,1.120,be819393-353e-4c46-b682-d2ee0d11e736
Dane Goodwin,365,7.449,16.44,46.90,47.37,1.214,83cf7787-d441-4c3a-b5de-a2b2a623350b
Darius Brown,363,7.891,28.10,52.73,53.18,1.389,b7ae8764-a482-4551-82ac-7a91c8292e4b
Mark Sears,354,9.833,19.49,49.77,49.92,1.212,6af77143-6aac-4199-ac80-bfa704e2ca51
Kennedy Chandler,350,8.333,16.29,50.37,50.28,1.264,90cef14e-ebcc-4a00-94e1-b06d8ca04701
Keshon Gilbert,349,8.310,31.81,53.09,52.90,1.110,10762d58-0a4c-416e-8e01-0af744c29286
Dexter Dennis,347,8.070,13.26,46.63,46.83,1.202,b9d78738-9b74-4fdb-9c3f-bce9cb72377a
Mac McClung,344,8.821,17.44,50.71,50.88,1.184,d9671fc0-754d-4cd1-b61d-2f6526c31497
Max Abmas,342,7.277,18.71,51.26,51.81,1.340,23961594-cb8d-4560-b709-2ace5a6b16a4
Stanley Umude,340,8.500,23.24,48.33,48.63,1.065,73712bb9-3143-4176-8eb3-cef6d45e9f92
Cameron Matthews,334,7.106,31.14,49.01,49.28,1.159,2b3321e5-dc2b-4c37-9ee5-36336690c3ec
R.J. Davis,334,6.958,18.56,45.83,46.87,1.251,af3e4f66-d651-4875-9291-4ee32c6a65dd
Jayden Nunn,333,7.400,9.31,45.58,45.47,1.142,174b4cc1-dd31-428b-97ad-093422ffe324
Daishen Nix,331,6.896,43.20,52.42,52.75,1.122,06212573-e2e8-4bfa-98cd-4484063dead1
Trey Alexander,324,9.000,17.90,47.69,48.23,1.263,eae5a4b1-2701-4843-b7ed-ac8677e6446b
Taevion Kinsey,324,7.364,25.31,50.51,50.50,1.243,b17e9b18-8167-47ec-b96c-1a1c88208376
Malcolm Hill,324,7.902,17.28,48.96,49.11,1.258,99f046d4-e2fe-495e-92e9-472b6f6a9c22
