Closest Defender,Shots Attempted,qSQ,qSP,% Heavily Contested,Points Per Possession,SSI Player ID
Giorgi Bezhanishvili,502,56.43,57.38,70.32,1.383,4d0b25c0-eb2c-423a-875e-ba9f74999bdf
Malik Williams,493,54.00,54.79,67.34,1.425,91d9d39e-7ed1-4320-80fc-4d487e79b1fa
Skal Labissiere,477,52.77,53.56,74.42,1.284,0943dbc8-178e-4cab-97d6-3f31747698ab
Rocco Zikarsky,424,45.48,45.85,82.55,1.203,7a36a328-5e4b-42b6-a21b-39e9f97e0188
Hunter Dickinson,386,55.20,56.20,66.32,1.366,00c80505-49a6-4ed4-ae3d-decf5a59b3a2
Zach Freemantle,383,56.45,57.21,64.49,1.455,aaa72835-bf87-4903-8432-953c82e91876
Hason Ward,380,49.06,50.01,81.05,1.320,99828648-af70-4757-ac4f-8f3e6c8364f5
Andrew Carr,376,53.84,54.36,77.39,1.418,d2f39898-17d1-4d74-bfca-1719672b051a
Jamarion Sharp,372,41.68,42.27,87.63,1.089,02b5523f-9555-42f2-b2a7-3ba79ce5e959
John Butler Jr.,371,46.91,47.57,85.44,1.408,16110c22-e5e0-4925-94a9-959285132aeb
Isaac Jones,354,52.18,52.87,80.23,1.285,a35d4b94-e6ff-4f4a-8f40-d64d70dd4c3a
Olivier Sarr,352,48.77,49.62,82.95,1.299,584a880d-84b9-40fd-876e-852044392606
Basheer Jihad,345,56.86,57.30,67.54,1.449,bd9b1fa0-957f-4365-8af3-a545d525965b
Mouhamadou Gueye,343,52.58,53.38,71.14,1.332,cc3ddd0b-2be3-4043-a3e9-7ae15f6e1ab0
Cameron Matthews,338,52.57,53.18,66.57,1.357,2b3321e5-dc2b-4c37-9ee5-36336690c3ec
PJ Hall,337,47.75,48.89,79.82,1.296,4af59bef-250a-46aa-a5d3-e448a55f61ad
Gabe McGlothan,334,57.79,58.74,69.76,1.484,32f54c28-47c6-4d3c-8364-c3956aef7190
Jalen Slawson,330,51.44,52.54,67.27,1.475,ee32b868-f2aa-47fd-bc12-e2df467173a0
Norchad Omier,329,55.15,56.03,58.05,1.276,15c34e0c-e636-4bd1-a7db-6435d201f8c6
Tomas Chapero,329,49.86,50.39,77.20,1.329,5909ae5b-81cc-4f42-adb1-912f0c19edfc
CJ Huntley,324,54.50,55.14,71.30,1.387,a93dac29-3dee-4328-8787-673c2c4d207c
Gabe Levin,322,49.27,49.96,73.60,1.320,154a9e91-a046-4e1d-bd25-0fdf6dc87f45
Efe Abogidi,316,56.29,57.07,72.47,1.393,2a962d8e-05d1-4d9c-ae45-e128f2ae9c81
Steven Crowl,312,54.21,54.83,73.72,1.329,ee193c16-33d6-4aac-9688-7dde65cf6671
Marques Bolden,308,51.75,52.98,71.75,1.379,95b6d616-e911-4060-869d-7f633e7ec049
Moses Brown,304,46.63,47.42,85.20,1.306,81ca845d-dae4-46b5-89e6-86d619acb3c8
Kylor Kelley,301,48.55,49.09,76.08,1.280,08d8e7a7-6e98-43fb-808a-803728ffe738
Johni Broome,297,55.82,56.78,69.02,1.423,12c34cc3-1005-4454-bcfa-a5332744fd4c
Coleman Hawkins,294,51.84,52.94,78.91,1.392,769be316-e69b-4438-a859-7fbbad08accf
Trevon Scott,290,58.40,59.35,58.28,1.516,fc067294-4b2b-42aa-bea6-88cda36ce6d2
Jules Bernard,286,57.08,57.87,58.39,1.455,7c2fd9b6-9749-4ca1-8d58-b773ff9223dd
Drew Cisse,285,50.68,51.45,77.19,1.201,4943e7dd-a830-4c29-bd39-a8b168bf00b9
Jalen Crutcher,285,58.06,58.45,55.44,1.486,938ea26e-95ff-4f3b-a385-a965af8195b4
James Banks III,285,47.89,48.45,76.49,1.236,f4a998d1-4507-43b9-91e3-832dde032d54
Lawson Lovering,280,48.61,49.03,80.71,1.272,ee296dd9-8d26-420c-9aa1-271f6b6a2222
Gabe Madsen,269,53.85,54.81,72.49,1.390,7e84815b-7663-437b-8751-28d60ef2c65b
Johnny O'Neil,264,49.58,50.32,75.00,1.409,266b9ca1-6596-4d2a-947a-0f602c0af725
Akoldah Gak,264,52.38,52.89,75.00,1.340,e6e552fd-83e6-4bb7-b80a-9b0bae80ad1c
Tristen Newton,262,57.79,58.73,52.67,1.496,ea2c60f4-30d3-4154-b99e-b907b24658bf
DeAndre Williams,261,56.19,57.08,60.54,1.394,d240c74d-0376-4b1e-998d-190b778ced1b
Dillon Jones,260,60.38,61.48,51.92,1.529,7c13f8c0-55bf-46b9-a41e-cbaeea35c13b
Jaylin Williams,259,50.22,50.75,74.13,1.352,db384374-d594-45b6-a3de-9aa8a66dc226
Vladislav Goldin,256,48.86,49.82,79.69,1.262,0d1efd50-8b55-402c-af4a-3400a0ecf19e
Terrell Brown Jr.,254,56.71,57.15,57.09,1.425,0784aa6d-2f58-4e8f-8fd0-d3cb2fd08ff8
Jack Clark,252,55.15,56.21,69.05,1.564,baad4031-1f9b-4e88-9ac6-9c40ed79d7f3
Anton Watson,251,51.54,52.69,71.31,1.376,8cb4b74b-84e9-40e3-9a3a-a7dd7be9767b
Jahmyl Telfort,250,57.32,58.44,61.20,1.477,f7cdd34f-d626-4902-b05a-e39f9ae32dd4
Kevin Knox II,250,56.86,58.12,62.80,1.412,868bf1ee-0aa9-4762-a685-b32801d25e6a
Riley Minix,249,55.04,56.02,64.66,1.445,d4332b50-b7fb-4429-9525-e10587f584d9
