Closest Defender,Shots Attempted,% Heavily Contested,SSI Player ID
Skal Labissiere,487,100.00,0943dbc8-178e-4cab-97d6-3f31747698ab
Rocco Zikarsky,419,100.00,7a36a328-5e4b-42b6-a21b-39e9f97e0188
Giorgi Bezhanishvili,416,100.00,4d0b25c0-eb2c-423a-875e-ba9f74999bdf
Isaac Jones,412,100.00,a35d4b94-e6ff-4f4a-8f40-d64d70dd4c3a
Andrew Carr,412,100.00,d2f39898-17d1-4d74-bfca-1719672b051a
Malik Williams,407,100.00,91d9d39e-7ed1-4320-80fc-4d487e79b1fa
Hason Ward,394,100.00,99828648-af70-4757-ac4f-8f3e6c8364f5
Jamarion Sharp,393,100.00,02b5523f-9555-42f2-b2a7-3ba79ce5e959
John Butler Jr.,384,100.00,16110c22-e5e0-4925-94a9-959285132aeb
Hunter Dickinson,371,100.00,00c80505-49a6-4ed4-ae3d-decf5a59b3a2
Olivier Sarr,368,100.00,584a880d-84b9-40fd-876e-852044392606
Gabe Madsen,368,100.00,7e84815b-7663-437b-8751-28d60ef2c65b
Coleman Hawkins,362,100.00,769be316-e69b-4438-a859-7fbbad08accf
Cameron Matthews,361,100.00,2b3321e5-dc2b-4c37-9ee5-36336690c3ec
PJ Hall,350,100.00,4af59bef-250a-46aa-a5d3-e448a55f61ad
Zach Freemantle,344,100.00,aaa72835-bf87-4903-8432-953c82e91876
Johnny O'Neil,342,100.00,266b9ca1-6596-4d2a-947a-0f602c0af725
Mouhamadou Gueye,328,100.00,cc3ddd0b-2be3-4043-a3e9-7ae15f6e1ab0
John Ukomadu,327,100.00,b4f22d30-f720-4880-9fc3-a7a1f5679086
Tomas Chapero,325,100.00,5909ae5b-81cc-4f42-adb1-912f0c19edfc
Jalen Slawson,325,100.00,ee32b868-f2aa-47fd-bc12-e2df467173a0
Jack Clark,319,100.00,baad4031-1f9b-4e88-9ac6-9c40ed79d7f3
Josh Oduro,318,100.00,8356850f-e674-4868-8a3b-7cf5b6193dce
Kylor Kelley,317,100.00,08d8e7a7-6e98-43fb-808a-803728ffe738
Jules Bernard,315,100.00,7c2fd9b6-9749-4ca1-8d58-b773ff9223dd
Stanley Umude,310,100.00,73712bb9-3143-4176-8eb3-cef6d45e9f92
Alex Reese,309,100.00,1f6ef8b2-5d7a-4ca6-a9f2-cc8c06c032b8
Steven Crowl,308,100.00,ee193c16-33d6-4aac-9688-7dde65cf6671
Gabe McGlothan,306,100.00,32f54c28-47c6-4d3c-8364-c3956aef7190
Basheer Jihad,302,100.00,bd9b1fa0-957f-4365-8af3-a545d525965b
Lawson Lovering,301,100.00,ee296dd9-8d26-420c-9aa1-271f6b6a2222
Zhaire Smith,297,100.00,bf29165e-4d8e-4760-a070-5502dd6c2176
DeAndre Williams,294,100.00,d240c74d-0376-4b1e-998d-190b778ced1b
Steve Settle III,292,100.00,f52af8fd-29ee-4aa7-9c70-e211a5d73a12
Efe Abogidi,292,100.00,2a962d8e-05d1-4d9c-ae45-e128f2ae9c81
Alex Morales,292,100.00,21a9c7c7-f211-4710-9932-3ecfa2fd4256
Moses Brown,291,100.00,81ca845d-dae4-46b5-89e6-86d619acb3c8
Anton Watson,290,100.00,8cb4b74b-84e9-40e3-9a3a-a7dd7be9767b
Gabe Levin,289,100.00,154a9e91-a046-4e1d-bd25-0fdf6dc87f45
Justin Minaya,287,100.00,8a534421-7dd1-49c4-a304-7b5a2341f904
Johni Broome,282,100.00,12c34cc3-1005-4454-bcfa-a5332744fd4c
