Closest Defender,Shots Attempted,qSQ,qSP,% Heavily Contested,Points Per Possession,SSI Player ID
Tristen Newton,356,50.45,49.54,35.11,1.213,ea2c60f4-30d3-4154-b99e-b907b24658bf
Stanley Umude,336,48.48,47.24,60.42,1.150,73712bb9-3143-4176-8eb3-cef6d45e9f92
Keion Brooks Jr.,335,52.04,50.12,34.63,1.300,088649fd-bea2-4353-a931-850c918b0337
Trey Alexander,333,51.25,50.01,27.93,1.269,eae5a4b1-2701-4843-b7ed-ac8677e6446b
Jaden Shackelford,318,51.36,50.25,45.60,1.312,dfffb2fc-160c-41a4-9a75-af0a21d2ba76
R.J. Davis,298,50.40,49.59,37.25,1.092,af3e4f66-d651-4875-9291-4ee32c6a65dd
Damion Baugh,298,50.33,49.06,33.89,1.316,bcde43ef-a7dd-4d4d-9d7e-a0585052e0b9
Jules Bernard,297,49.28,47.91,49.83,1.116,7c2fd9b6-9749-4ca1-8d58-b773ff9223dd
Dane Goodwin,297,52.07,50.74,46.13,1.365,83cf7787-d441-4c3a-b5de-a2b2a623350b
Skal Labissiere,296,50.85,49.02,44.26,1.141,0943dbc8-178e-4cab-97d6-3f31747698ab
Boo Buie III,295,50.68,49.73,51.86,1.160,2327ad6b-a87c-4b5c-8dbb-c64690426e98
RayJ Dennis,295,49.59,48.21,42.03,1.244,5c2a5944-cadb-4619-8b0d-04338c63a470
Dillon Jones,293,50.70,49.54,36.52,1.342,7c13f8c0-55bf-46b9-a41e-cbaeea35c13b
Taevion Kinsey,293,50.60,49.24,41.98,1.055,b17e9b18-8167-47ec-b96c-1a1c88208376
Giorgi Bezhanishvili,293,52.61,50.41,21.50,1.234,4d0b25c0-eb2c-423a-875e-ba9f74999bdf
Jack Clark,290,51.43,49.82,50.00,1.274,baad4031-1f9b-4e88-9ac6-9c40ed79d7f3
Stephen Thompson,283,50.66,49.28,31.10,1.078,41e105ed-f146-4aef-a65b-262abde1841e
Dink Pate,282,50.02,48.83,36.52,1.288,dc8f2d40-88ec-44ef-b6ef-09404a5d49cd
Alex Morales,280,51.30,49.41,57.86,1.265,21a9c7c7-f211-4710-9932-3ecfa2fd4256
Jahmyl Telfort,280,51.23,50.01,41.79,1.296,f7cdd34f-d626-4902-b05a-e39f9ae32dd4
Jalen Crutcher,276,50.84,49.42,40.22,1.267,938ea26e-95ff-4f3b-a385-a965af8195b4
