Closest Defender,Shots Attempted,eFG%,qSQ,% Heavily Contested,Points Per Possession,SSI Player ID
Giorgi Bezhanishvili,148,53.04,53.92,58.11,1.206,4d0b25c0-eb2c-423a-875e-ba9f74999bdf
Malik Williams,132,54.55,52.32,63.64,1.481,91d9d39e-7ed1-4320-80fc-4d487e79b1fa
Curtis Jones,117,51.71,50.77,56.41,1.307,69489a71-b1eb-4fde-b687-6385e03c1e49
Olivier Sarr,116,55.60,52.73,63.79,1.389,584a880d-84b9-40fd-876e-852044392606
Gabe Madsen,114,57.02,50.52,73.68,1.454,7e84815b-7663-437b-8751-28d60ef2c65b
Coleman Hawkins,113,62.83,52.00,69.91,1.509,769be316-e69b-4438-a859-7fbbad08accf
PJ Hall,111,44.14,49.99,65.77,1.142,4af59bef-250a-46aa-a5d3-e448a55f61ad
Stanley Umude,110,50.91,49.18,67.27,1.255,73712bb9-3143-4176-8eb3-cef6d45e9f92
Hunter Dickinson,109,57.34,50.67,62.39,1.255,00c80505-49a6-4ed4-ae3d-decf5a59b3a2
Moses Brown,107,54.21,45.29,67.29,1.505,81ca845d-dae4-46b5-89e6-86d619acb3c8
Mouhamadou Gueye,106,67.92,54.55,57.55,1.509,cc3ddd0b-2be3-4043-a3e9-7ae15f6e1ab0
Basheer Jihad,101,72.77,57.51,57.43,1.794,bd9b1fa0-957f-4365-8af3-a545d525965b
Skal Labissiere,99,53.54,54.98,61.62,1.293,0943dbc8-178e-4cab-97d6-3f31747698ab
Jalen Slawson,95,54.74,50.67,58.95,1.463,ee32b868-f2aa-47fd-bc12-e2df467173a0
Zach Freemantle,92,53.80,53.91,60.87,1.359,aaa72835-bf87-4903-8432-953c82e91876
Trey Alexander,88,64.20,54.39,36.36,1.330,eae5a4b1-2701-4843-b7ed-ac8677e6446b
Dane Goodwin,88,58.52,55.66,50.00,1.395,83cf7787-d441-4c3a-b5de-a2b2a623350b
Norchad Omier,87,64.37,53.50,49.43,1.465,15c34e0c-e636-4bd1-a7db-6435d201f8c6
Johni Broome,87,58.62,52.69,59.77,1.287,12c34cc3-1005-4454-bcfa-a5332744fd4c
