Shooter,Shots Attempted,Shots Attempted Per 100 Possessions,SSI Player ID
Curtis Jones,415,13.647,69489a71-b1eb-4fde-b687-6385e03c1e49
Lester Quinones,414,13.560,e4c6a53d-37a8-4278-9230-5a9d9ccc6d02
Tristen Newton,396,10.691,ea2c60f4-30d3-4154-b99e-b907b24658bf
James Bouknight,379,13.215,a4bca3d5-c8c6-408f-a4bf-22453062b4b9
Jalen Bridges,378,11.728,1c7e1fdd-3a9d-4509-b079-a329c993e9d4
Dink Pate,378,12.123,dc8f2d40-88ec-44ef-b6ef-09404a5d49cd
Jaden Shackelford,363,12.198,dfffb2fc-160c-41a4-9a75-af0a21d2ba76
Jalen Crutcher,349,10.430,938ea26e-95ff-4f3b-a385-a965af8195b4
Max Abmas,340,11.980,23961594-cb8d-4560-b709-2ace5a6b16a4
Daishen Nix,335,8.972,06212573-e2e8-4bfa-98cd-4484063dead1
Jules Bernard,334,10.331,7c2fd9b6-9749-4ca1-8d58-b773ff9223dd
Dexter Dennis,333,11.439,b9d78738-9b74-4fdb-9c3f-bce9cb72377a
Stanley Umude,329,11.899,73712bb9-3143-4176-8eb3-cef6d45e9f92
Koby Brea,329,14.012,e2c4bc9d-2cb8-49d6-962a-07bed124b6c8
Blake Hinson,321,13.724,64b12646-2555-4dd0-98eb-cb169b3ee58a
Sheldon Edwards,321,15.954,8d385c74-6c2b-4704-ad41-8e5519b11012
Dane Goodwin,320,10.031,83cf7787-d441-4c3a-b5de-a2b2a623350b
Mac McClung,315,10.217,d9671fc0-754d-4cd1-b61d-2f6526c31497
Caleb Houstan,314,12.911,0ac0ed6b-ebe7-4dcb-b924-c14e31262efc
Javonte Smart,308,12.566,a340ee6f-51b2-400d-8c06-295617b4c779
Sean McDermott,305,11.686,b5d46463-618d-4328-a3ac-31239ed7af7e
Trevor Keels,303,12.105,58189b84-2563-4034-984b-e61021022c4c
John Poulakidas,303,12.916,12bf97f3-6476-4443-af11-5228771faf66
Boo Buie III,298,10.708,2327ad6b-a87c-4b5c-8dbb-c64690426e98
Jack Clark,296,10.386,baad4031-1f9b-4e88-9ac6-9c40ed79d7f3
R.J. Davis,295,9.963,af3e4f66-d651-4875-9291-4ee32c6a65dd
Wade Taylor IV,292,10.515,d809ed56-e0c4-48ab-9cb2-e6e94a8c0842
Malik Williams,292,11.162,91d9d39e-7ed1-4320-80fc-4d487e79b1fa
Alex Reese,292,12.984,1f6ef8b2-5d7a-4ca6-a9f2-cc8c06c032b8
Sean Pedulla,290,11.381,6068f2de-9744-432d-b3f4-f73da0894927
Malcolm Hill,286,9.356,99f046d4-e2fe-495e-92e9-472b6f6a9c22
Kyle Mangas,281,9.884,509e10a3-69e7-41cc-a0b5-44de8eb4659f
Bryson Warren,280,16.308,de89d563-ec4f-4356-8cba-afd95b5a975a
Kevin Knox II,277,10.255,868bf1ee-0aa9-4762-a685-b32801d25e6a
Tyson Etienne,270,15.508,316deed2-3f6a-4c1c-9508-2dd0c937cd4c
Tyler Burton,270,9.149,382afece-e02d-4ce2-92ac-92b1d2333d2c
Teddy Allen,270,12.184,03318058-7f1e-4d54-a8b4-cbaf7e836a78
A.J. Lawson,270,11.349,ed39e2d6-ce65-43e5-9ea9-d579d0526a1f
Charlie Brown Jr.,268,8.984,dfa6209b-514d-438b-9c4c-bd6f1ff85613
Miles Kelly,267,12.720,8e41f240-6f89-4f54-bcc5-534112efd3c2
Jahmyl Telfort,262,8.518,f7cdd34f-d626-4902-b05a-e39f9ae32dd4
RayJ Dennis,255,9.327,5c2a5944-cadb-4619-8b0d-04338c63a470
Jaylen Sims,254,8.915,4e475993-d453-43ef-a5dc-52e715e3e5db
Josh Christopher,253,11.087,207daaca-464a-4e71-8c77-cae31615c0e3
John Tonje,253,9.210,5bfe6dcb-3da9-45f9-95c0-ed690168c7ba
Antonio Reeves,251,11.230,19004e0e-7982-4513-bdba-24e11e49d49d
Jon Elmore,250,9.388,65bebd10-aa65-48ec-845f-2efcb122287a
DaQuan Jeffries,250,11.181,b969f906-aab2-4845-b038-70ec8482bed4
Max Shulga,249,9.375,be819393-353e-4c46-b682-d2ee0d11e736
Gabe Madsen,249,8.709,7e84815b-7663-437b-8751-28d60ef2c65b
Jaxson Robinson,248,14.709,e7e970a3-7025-4ccc-b0f7-271f94238ee5
Johnny O'Neil,246,10.752,266b9ca1-6596-4d2a-947a-0f602c0af725
Mitchell Mascari,246,13.465,fdc935b9-0c73-4ca7-ba6b-f3b5aa1f2205
Eric Dixon,246,10.799,11ec3e54-7b96-4e1f-856e-8933eb8de9c3
Taylor Funk,245,11.502,951413b1-0a17-4edf-841a-5ca7b9a2c275
Caleb Grill,244,12.883,bbae8544-616e-4d08-9a98-a20e5d47e694
Skal Labissiere,242,8.646,0943dbc8-178e-4cab-97d6-3f31747698ab
D'Moi Hodge,239,10.805,4fca8d39-a522-46f0-b222-226b8180e35a
Damari Monsanto,235,16.643,63a42b38-d8f6-4214-aa03-cb4263b02a9a
Matthew Murrell,234,9.238,42aff9d8-9839-4949-ac9d-97663c8eae23
Keion Brooks Jr.,234,7.850,088649fd-bea2-4353-a931-850c918b0337
Darius Brown,234,7.471,b7ae8764-a482-4551-82ac-7a91c8292e4b
