Ballhandler,Picks,qSI,SSI Player ID
Ja'Vier Francis,2,108.03,426de6ba-834c-455a-8c94-9656ad089275
Nathan Mariano,1,107.59,6e090c81-2a42-43d1-9e4e-bd5a04f09b10
Steven Crowl,3,105.18,ee193c16-33d6-4aac-9688-7dde65cf6671
Leonard Miller,2,99.53,0eaefaeb-b40c-4fc7-9086-902dc1ab2254
Sy Chatman,1,99.42,ea9cdbe0-fa96-437f-99d0-f1c67185f3e7
David Muoka,1,96.25,c5a7468d-b9c2-4814-a823-b9bf4a58358f
Robert Woodard II,2,87.81,9bedc1b4-449c-42cb-b9a2-9b0cd3596329
Elijah Pemberton,5,84.82,0fd95fbb-b175-40e4-a6c7-4864b5678d6f
Jaire Grayer,1,83.43,c641880b-c90c-465e-8564-f6a741fae84b
Isaiah Moore,2,83.23,ffd1ae3a-bd10-436e-a214-71a0761663e4
Grant Nelson,2,80.91,c4012fed-7c3d-4171-a8c7-3432c061c9d7
William Baker,4,74.04,dc9d21e3-68f0-4270-a358-8e68da5bbafc
Cameron Smith,3,73.17,bd762247-fb20-496c-af57-0abcde142d02
James Banks III,1,62.79,f4a998d1-4507-43b9-91e3-832dde032d54
Akoldah Gak,3,57.94,e6e552fd-83e6-4bb7-b80a-9b0bae80ad1c
Philip Alston,2,57.40,f05622f9-9133-4b26-8fce-07c056dbcf6c
Ibou Badji,1,56.07,9e3a3a92-a664-48f7-97d2-0f8f27735dbd
Matthew Moncrieffe,3,51.04,3d0d89b4-df1e-43a9-9870-4329d5e8161c
Johni Broome,10,50.68,12c34cc3-1005-4454-bcfa-a5332744fd4c
Marquis Barnett,7,49.45,7edec21a-68b6-453a-b51f-2e3827a52d7d
Tyler Polley,6,48.65,e48e99e8-0b78-493c-9d6f-15b65e7869c6
Julian Phillips,16,45.94,76ada8a1-6ec8-4915-b57e-fa234b1f2788
Marcus Bagley,7,45.45,a39bf7f9-11fd-434e-9673-4a184061ad7d
Tyrese Proctor,24,43.71,27207fcd-251c-4d7b-8d11-48823d8dab1b
Joey Calcaterra,13,42.96,f07958e4-943d-41bd-add3-e75692af9566
Bryce Wills,3,39.76,1743e5fa-bc43-42e4-92c1-fa57e57d6312
Norchad Omier,6,36.72,15c34e0c-e636-4bd1-a7db-6435d201f8c6
PJ Hall,8,33.77,4af59bef-250a-46aa-a5d3-e448a55f61ad
Noa Essengue,9,32.79,fe09888e-ef47-4152-a457-e6f4e04aee54
Jamison Battle,6,32.04,74f1f473-4fc6-4175-bf32-f1f99de73ef8
Yang Hansen,6,31.81,c6156c46-4275-4470-bed6-6c382811ef91
William Hickey,19,31.19,5673cf85-4703-43f8-b541-dd3923d4c42b
Vance Jackson,3,30.77,2a70adf2-b7a5-4028-b567-a3b18585a709
Kaleb Johnson,37,30.01,51e2e08f-d07e-4dbd-a05f-bba8e5c69f96
Jordan Bell,8,29.82,07a35d50-2dd1-4476-a9ac-b6e7154ce069
Orlando Robinson,3,29.62,e58d10b8-dbfa-46bc-9b80-d078501bcce7
Kylor Kelley,2,29.48,08d8e7a7-6e98-43fb-808a-803728ffe738
Kalil Thomas,3,28.33,1e30df52-91e3-4394-8265-d813a892b8c7
Osayi Osifo,4,27.47,c1f25993-dd81-43fd-a710-d7b67b6bd974
Pedro Bradshaw,16,26.60,881e8c41-f4cb-44fa-9caa-782d1e294daf
Eli John Ndiaye,6,25.98,541d7cbf-04ae-40eb-9401-fc9f1fffdcf2
Jackson Rowe,26,25.38,87777cd1-2099-4edd-8256-f29343fa0fd4
Jermaine Couisnard,16,25.33,395250e2-3fc7-41ec-b3e5-be2b920a6458
Keyshawn Bryant,22,24.82,8bfb0e3f-2c04-4dd5-ab0d-c7bf453b1ed5
Drake Powell,28,24.80,ed72fbc9-1066-46d8-872e-9a437c4e536e
Dalton Knecht,19,23.60,b8da7ce7-11b7-4a94-acd4-f309bf4b6333
Keshad Johnson,8,22.97,c5cb7e86-5c88-4bd2-bf14-22a65e7bd094
