Ballhandler,Drives,Drives Per 36 Minutes,qSI,SSI Player ID
Dalano Banton,720,22.537,4.52,ccd8ec3b-3e5b-4f39-9b41-91882f179a73
Mac McClung,699,20.601,4.69,d9671fc0-754d-4cd1-b61d-2f6526c31497
RayJ Dennis,687,22.327,3.92,5c2a5944-cadb-4619-8b0d-04338c63a470
Keshon Gilbert,664,21.908,2.15,10762d58-0a4c-416e-8e01-0af744c29286
Daishen Nix,653,15.241,-0.03,06212573-e2e8-4bfa-98cd-4484063dead1
Jules Bernard,639,17.314,6.15,7c2fd9b6-9749-4ca1-8d58-b773ff9223dd
Reece Beekman,619,18.734,2.70,a419b920-f119-41d8-af53-47d3b49ea811
Trey Alexander,584,17.986,3.89,eae5a4b1-2701-4843-b7ed-ac8677e6446b
Tristen Newton,567,13.518,10.50,ea2c60f4-30d3-4154-b99e-b907b24658bf
Jahmir Young,555,22.323,3.68,dc80c41d-ab1d-4aa4-be9f-8830d7e0dd62
Damion Baugh,546,18.947,6.90,bcde43ef-a7dd-4d4d-9d7e-a0585052e0b9
Kennedy Chandler,532,15.379,2.69,90cef14e-ebcc-4a00-94e1-b06d8ca04701
R.J. Davis,508,14.734,10.47,af3e4f66-d651-4875-9291-4ee32c6a65dd
Sean East II,504,14.534,9.75,673bd14c-085f-4173-9211-d62ae307b0e3
Ruben Nembhard Jr.,501,19.053,2.66,27574eb5-d76b-4147-882e-38f3edc014b3
Anthony Pritchard,496,19.045,3.33,58d7789a-e4bc-46cd-91d5-01526491d417
Sean Pedulla,494,17.207,2.88,6068f2de-9744-432d-b3f4-f73da0894927
Isaiah Stevens,494,18.537,4.63,27b14c86-8f8d-4cd8-a8ec-bb051cd871bc
Jaden Akins,484,14.321,3.14,e6acbf72-2032-4b3f-9672-62f8052c1873
Mark Armstrong,477,20.856,3.32,3bc6f704-0fda-4f85-a681-a41d1178948b
Mark Sears,475,16.428,0.54,6af77143-6aac-4199-ac80-bfa704e2ca51
Darius Brown,470,12.937,-1.93,b7ae8764-a482-4551-82ac-7a91c8292e4b
Boo Buie III,465,13.686,5.11,2327ad6b-a87c-4b5c-8dbb-c64690426e98
Jalen Crutcher,462,11.949,4.35,938ea26e-95ff-4f3b-a385-a965af8195b4
Jaelen House,461,23.952,4.15,e14de0fe-50fa-4322-a5a2-55cb2137e6f2
James Akinjo,445,21.743,-0.15,889010b1-1e41-4488-97c5-030be0d70083
Lester Quinones,440,12.413,8.92,e4c6a53d-37a8-4278-9230-5a9d9ccc6d02
Alijah Martin,435,15.388,12.35,c1035422-a088-42e6-8ad3-db400bb52aa1
Max Shulga,432,13.771,7.31,be819393-353e-4c46-b682-d2ee0d11e736
Curtis Jones,425,12.114,4.02,69489a71-b1eb-4fde-b687-6385e03c1e49
Terrell Brown Jr.,421,14.182,3.76,0784aa6d-2f58-4e8f-8fd0-d3cb2fd08ff8
Dink Pate,417,11.319,-0.46,dc8f2d40-88ec-44ef-b6ef-09404a5d49cd
Malachi Smith,412,17.219,3.79,cf11631f-67ad-4f08-9466-e66859baa68e
