Shooter,Shots Attempted,qSI,SSI Player ID
Jalen Bridges,301,4.59,1c7e1fdd-3a9d-4509-b079-a329c993e9d4
Stanley Umude,296,-0.25,73712bb9-3143-4176-8eb3-cef6d45e9f92
Malik Williams,275,0.19,91d9d39e-7ed1-4320-80fc-4d487e79b1fa
Dane Goodwin,274,9.01,83cf7787-d441-4c3a-b5de-a2b2a623350b
Alex Reese,272,-2.66,1f6ef8b2-5d7a-4ca6-a9f2-cc8c06c032b8
Dexter Dennis,256,2.45,b9d78738-9b74-4fdb-9c3f-bce9cb72377a
Malcolm Hill,252,6.84,99f046d4-e2fe-495e-92e9-472b6f6a9c22
Blake Hinson,251,9.95,64b12646-2555-4dd0-98eb-cb169b3ee58a
Caleb Houstan,247,8.51,0ac0ed6b-ebe7-4dcb-b924-c14e31262efc
Jack Clark,247,-8.21,baad4031-1f9b-4e88-9ac6-9c40ed79d7f3
Lester Quinones,242,10.17,e4c6a53d-37a8-4278-9230-5a9d9ccc6d02
A.J. Lawson,237,1.90,ed39e2d6-ce65-43e5-9ea9-d579d0526a1f
Tyson Etienne,235,7.00,316deed2-3f6a-4c1c-9508-2dd0c937cd4c
Jalen Crutcher,234,8.45,938ea26e-95ff-4f3b-a385-a965af8195b4
Skal Labissiere,233,11.65,0943dbc8-178e-4cab-97d6-3f31747698ab
Trevor Keels,224,9.76,58189b84-2563-4034-984b-e61021022c4c
Felipe Haase,222,4.46,a03683d7-864f-4a20-ba32-5a8d3263c1fa
Gabe Madsen,221,2.42,7e84815b-7663-437b-8751-28d60ef2c65b
James Bouknight,219,15.68,a4bca3d5-c8c6-408f-a4bf-22453062b4b9
Jaden Shackelford,218,10.89,dfffb2fc-160c-41a4-9a75-af0a21d2ba76
Tristen Newton,218,9.36,ea2c60f4-30d3-4154-b99e-b907b24658bf
Kevin Knox II,218,6.63,868bf1ee-0aa9-4762-a685-b32801d25e6a
Jaxson Robinson,217,-0.78,e7e970a3-7025-4ccc-b0f7-271f94238ee5
Jahmyl Telfort,216,-3.68,f7cdd34f-d626-4902-b05a-e39f9ae32dd4
Jaylen Sims,210,1.10,4e475993-d453-43ef-a5dc-52e715e3e5db
Curtis Jones,209,7.17,69489a71-b1eb-4fde-b687-6385e03c1e49
John Poulakidas,209,17.84,12bf97f3-6476-4443-af11-5228771faf66
Johnny O'Neil,209,7.39,266b9ca1-6596-4d2a-947a-0f602c0af725
Hunter Dickinson,208,6.18,00c80505-49a6-4ed4-ae3d-decf5a59b3a2
Jayson Kent,206,7.53,dc854637-bbf4-4710-94b5-8c953db3ce27
Tyler Burton,205,3.63,382afece-e02d-4ce2-92ac-92b1d2333d2c
Sean McDermott,205,3.65,b5d46463-618d-4328-a3ac-31239ed7af7e
Dink Pate,204,4.14,dc8f2d40-88ec-44ef-b6ef-09404a5d49cd
Matthew Murrell,200,-4.60,42aff9d8-9839-4949-ac9d-97663c8eae23
Mitchell Mascari,200,15.04,fdc935b9-0c73-4ca7-ba6b-f3b5aa1f2205
Max Abmas,200,10.19,23961594-cb8d-4560-b709-2ace5a6b16a4
Miles Kelly,198,3.12,8e41f240-6f89-4f54-bcc5-534112efd3c2
Caleb Grill,198,4.36,bbae8544-616e-4d08-9a98-a20e5d47e694
