Shooter,Shots Attempted,qSI,qSI (sum),SSI Player ID
Tristen Newton,606,10.13,6136.99,ea2c60f4-30d3-4154-b99e-b907b24658bf
Curtis Jones,562,3.93,2207.00,69489a71-b1eb-4fde-b687-6385e03c1e49
Sean East II,491,8.38,4116.84,673bd14c-085f-4173-9211-d62ae307b0e3
Max Abmas,487,6.39,3111.91,23961594-cb8d-4560-b709-2ace5a6b16a4
Lester Quinones,476,7.64,3637.81,e4c6a53d-37a8-4278-9230-5a9d9ccc6d02
Jaden Shackelford,464,3.81,1765.73,dfffb2fc-160c-41a4-9a75-af0a21d2ba76
RayJ Dennis,464,5.91,2741.22,5c2a5944-cadb-4619-8b0d-04338c63a470
Dink Pate,450,1.85,832.22,dc8f2d40-88ec-44ef-b6ef-09404a5d49cd
Jalen Bridges,438,3.51,1538.41,1c7e1fdd-3a9d-4509-b079-a329c993e9d4
Jalen Crutcher,438,6.65,2912.12,938ea26e-95ff-4f3b-a385-a965af8195b4
Trey Alexander,434,4.15,1800.42,eae5a4b1-2701-4843-b7ed-ac8677e6446b
Koby Brea,429,4.73,2027.98,e2c4bc9d-2cb8-49d6-962a-07bed124b6c8
James Bouknight,428,10.49,4489.43,a4bca3d5-c8c6-408f-a4bf-22453062b4b9
Jules Bernard,427,-3.29,-1403.51,7c2fd9b6-9749-4ca1-8d58-b773ff9223dd
Stanley Umude,418,-2.25,-941.73,73712bb9-3143-4176-8eb3-cef6d45e9f92
R.J. Davis,418,10.53,4402.25,af3e4f66-d651-4875-9291-4ee32c6a65dd
Dane Goodwin,416,4.98,2069.81,83cf7787-d441-4c3a-b5de-a2b2a623350b
Mac McClung,412,7.05,2904.08,d9671fc0-754d-4cd1-b61d-2f6526c31497
Malcolm Hill,409,4.28,1751.98,99f046d4-e2fe-495e-92e9-472b6f6a9c22
Boo Buie III,404,5.66,2286.66,2327ad6b-a87c-4b5c-8dbb-c64690426e98
Dexter Dennis,403,-0.59,-237.96,b9d78738-9b74-4fdb-9c3f-bce9cb72377a
Kevin Knox II,395,6.81,2690.00,868bf1ee-0aa9-4762-a685-b32801d25e6a
Jahmyl Telfort,395,-1.47,-579.09,f7cdd34f-d626-4902-b05a-e39f9ae32dd4
Sean Pedulla,393,3.49,1372.16,6068f2de-9744-432d-b3f4-f73da0894927
Jaden Akins,391,-0.11,-42.03,e6acbf72-2032-4b3f-9672-62f8052c1873
Javonte Smart,386,2.77,1068.36,a340ee6f-51b2-400d-8c06-295617b4c779
Trevor Keels,380,6.26,2378.53,58189b84-2563-4034-984b-e61021022c4c
Wade Taylor IV,379,6.87,2604.04,d809ed56-e0c4-48ab-9cb2-e6e94a8c0842
Caleb Houstan,378,2.24,845.51,0ac0ed6b-ebe7-4dcb-b924-c14e31262efc
Daishen Nix,374,-5.05,-1886.92,06212573-e2e8-4bfa-98cd-4484063dead1
Blake Hinson,367,9.87,3620.70,64b12646-2555-4dd0-98eb-cb169b3ee58a
Jaylen Sims,366,4.32,1582.86,4e475993-d453-43ef-a5dc-52e715e3e5db
Dalano Banton,366,-2.78,-1017.88,ccd8ec3b-3e5b-4f39-9b41-91882f179a73
Stephen Thompson,365,6.51,2374.58,41e105ed-f146-4aef-a65b-262abde1841e
Sheldon Edwards,364,-2.44,-889.70,8d385c74-6c2b-4704-ad41-8e5519b11012
Miles Kelly,360,3.35,1206.26,8e41f240-6f89-4f54-bcc5-534112efd3c2
Damion Baugh,359,-1.34,-481.52,bcde43ef-a7dd-4d4d-9d7e-a0585052e0b9
John Poulakidas,357,15.47,5523.85,12bf97f3-6476-4443-af11-5228771faf66
Charlie Brown Jr.,356,0.40,142.88,dfa6209b-514d-438b-9c4c-bd6f1ff85613
Tyler Burton,356,6.10,2172.02,382afece-e02d-4ce2-92ac-92b1d2333d2c
Terrell Brown Jr.,355,-1.45,-515.32,0784aa6d-2f58-4e8f-8fd0-d3cb2fd08ff8
Josh Christopher,354,4.49,1589.40,207daaca-464a-4e71-8c77-cae31615c0e3
Malik Williams,353,0.52,182.42,91d9d39e-7ed1-4320-80fc-4d487e79b1fa
Killian Hayes,350,2.17,758.19,9a826fec-5df7-4a14-8637-3364dc9433c2
Keion Brooks Jr.,346,1.55,535.92,088649fd-bea2-4353-a931-850c918b0337
Kyle Mangas,345,2.52,869.22,509e10a3-69e7-41cc-a0b5-44de8eb4659f
John Tonje,344,3.89,1339.40,5bfe6dcb-3da9-45f9-95c0-ed690168c7ba
Skal Labissiere,342,10.96,3748.15,0943dbc8-178e-4cab-97d6-3f31747698ab
Jack Clark,342,-6.96,-2380.23,baad4031-1f9b-4e88-9ac6-9c40ed79d7f3
DaQuan Jeffries,338,12.85,4344.09,b969f906-aab2-4845-b038-70ec8482bed4
Jon Elmore,331,2.58,853.72,65bebd10-aa65-48ec-845f-2efcb122287a
Sean McDermott,330,1.96,645.72,b5d46463-618d-4328-a3ac-31239ed7af7e
Teddy Allen,325,6.62,2150.12,03318058-7f1e-4d54-a8b4-cbaf7e836a78
Bryson Warren,325,3.72,1208.62,de89d563-ec4f-4356-8cba-afd95b5a975a
Kennedy Chandler,320,0.88,282.43,90cef14e-ebcc-4a00-94e1-b06d8ca04701
Mark Sears,317,2.57,813.81,6af77143-6aac-4199-ac80-bfa704e2ca51
Max Shulga,315,1.85,584.25,be819393-353e-4c46-b682-d2ee0d11e736
James Akinjo,312,-3.20,-998.47,889010b1-1e41-4488-97c5-030be0d70083
Brice Williams,309,11.76,3633.46,bc4eee96-6dec-4e4c-ac60-d467785926cb
Alex Reese,309,-0.85,-263.92,1f6ef8b2-5d7a-4ca6-a9f2-cc8c06c032b8
Antonio Reeves,307,2.80,859.08,19004e0e-7982-4513-bdba-24e11e49d49d
Jahmir Young,305,3.14,957.52,dc80c41d-ab1d-4aa4-be9f-8830d7e0dd62
Dillon Jones,305,0.26,79.61,7c13f8c0-55bf-46b9-a41e-cbaeea35c13b
A.J. Lawson,299,0.73,217.13,ed39e2d6-ce65-43e5-9ea9-d579d0526a1f
Jayden Nunn,296,4.07,1204.25,174b4cc1-dd31-428b-97ad-093422ffe324
Jarkel Joiner,291,-0.14,-40.84,994212e5-17be-4696-bd46-0efcd68787bc
Chance McMillian,290,4.46,1294.34,d40fdb50-4ea9-488f-85e3-aa57164f9d0a
Darius Brown,290,3.40,985.40,b7ae8764-a482-4551-82ac-7a91c8292e4b
Tyson Etienne,289,6.36,1839.32,316deed2-3f6a-4c1c-9508-2dd0c937cd4c
Eric Dixon,288,2.42,696.42,11ec3e54-7b96-4e1f-856e-8933eb8de9c3
Jaxson Robinson,287,-0.59,-169.14,e7e970a3-7025-4ccc-b0f7-271f94238ee5
Javante McCoy,286,4.45,1271.70,fac10e71-d936-4a9b-b017-2e3b743f9833
Drew Peterson,283,3.35,948.63,b385f90c-bbc7-4346-8507-4d626e2c0c61
Taylor Funk,278,5.32,1479.23,951413b1-0a17-4edf-841a-5ca7b9a2c275
Matthew Murrell,277,-6.93,-1920.96,42aff9d8-9839-4949-ac9d-97663c8eae23
Cormac Ryan,276,7.44,2054.81,f3f41cea-955b-4ff5-b6fc-69991789d721
Alondes Williams,275,3.31,910.03,e555cb48-990b-4ef7-8464-59adc6adf34d
Hunter Dickinson,274,6.97,1909.35,00c80505-49a6-4ed4-ae3d-decf5a59b3a2
Isaiah Stevens,274,-0.21,-57.31,27b14c86-8f8d-4cd8-a8ec-bb051cd871bc
MarJon Beauchamp,273,2.17,593.20,a17b838f-efcd-4d85-adab-39e05d579e13
Mitchell Mascari,269,15.05,4047.11,fdc935b9-0c73-4ca7-ba6b-f3b5aa1f2205
Johnny O'Neil,267,5.03,1343.81,266b9ca1-6596-4d2a-947a-0f602c0af725
Evan Gilyard,266,-5.30,-1410.14,0f656aa8-c62c-4fad-ad9f-3442cdc15e50
Jaelen House,264,0.67,178.06,e14de0fe-50fa-4322-a5a2-55cb2137e6f2
Gabe Madsen,264,3.49,921.07,7e84815b-7663-437b-8751-28d60ef2c65b
Chaz Lanier,263,7.68,2020.83,3ff2c55c-8857-4cde-85eb-a42b87da7dcd
Damari Monsanto,263,10.71,2816.51,63a42b38-d8f6-4214-aa03-cb4263b02a9a
TyTy Washington Jr.,261,10.11,2638.39,0b1c2f8c-380e-4f07-85b0-3b5ff4650d00
Tyreke Key,260,3.43,892.69,a9ab59d3-2f04-49b0-b4fd-a265d98af568
Alijah Martin,260,3.98,1034.20,c1035422-a088-42e6-8ad3-db400bb52aa1
Hayden Gray,260,-0.13,-33.86,e901ec95-f7cf-40c9-af32-8dabb981b3cd
Chris Youngblood,256,-0.33,-85.33,35206de4-a3c1-415a-b596-126c0ab7b44a
Kendall Brown,256,-4.20,-1074.84,84863ea4-7e22-4827-9c1e-091a16291b37
Taevion Kinsey,254,-1.20,-304.61,b17e9b18-8167-47ec-b96c-1a1c88208376
Caleb Grill,252,5.15,1297.09,bbae8544-616e-4d08-9a98-a20e5d47e694
Trevon Scott,251,-3.67,-922.12,fc067294-4b2b-42aa-bea6-88cda36ce6d2
Riley Minix,250,13.53,3381.40,d4332b50-b7fb-4429-9525-e10587f584d9
Daeqwon Plowden,250,10.88,2719.48,daca4b6a-526f-49e8-a02e-ba59acb77846
Felipe Haase,248,3.39,841.62,a03683d7-864f-4a20-ba32-5a8d3263c1fa
LJ Cryer,245,12.98,3180.44,51c89cc1-c192-4e07-878a-436ad5c2c70a
Dariq Whitehead,245,-8.21,-2012.15,9f8b2ee3-8cc5-4a92-aeb9-c8c52d6e37a2
Mark Armstrong,245,-4.97,-1217.87,3bc6f704-0fda-4f85-a681-a41d1178948b
Sean McNeil,245,10.65,2609.27,4f71e857-f644-4dfc-9ae8-65416c90df71
D'Moi Hodge,242,-5.17,-1251.18,4fca8d39-a522-46f0-b222-226b8180e35a
Donovan Williams,240,-1.06,-253.56,12136b74-23d8-49b4-b4de-98a320969c76
