Player,Points Scored Per Game,Usage Per 100 Chances,SSI Player ID
Tristen Newton,23.375,25.895,ea2c60f4-30d3-4154-b99e-b907b24658bf
Mac McClung,27.000,29.371,d9671fc0-754d-4cd1-b61d-2f6526c31497
Lester Quinones,21.213,26.646,e4c6a53d-37a8-4278-9230-5a9d9ccc6d02
Daishen Nix,18.729,26.252,06212573-e2e8-4bfa-98cd-4484063dead1
Jules Bernard,19.933,28.099,7c2fd9b6-9749-4ca1-8d58-b773ff9223dd
Dalano Banton,21.683,32.298,ccd8ec3b-3e5b-4f39-9b41-91882f179a73
James Bouknight,18.255,25.699,a4bca3d5-c8c6-408f-a4bf-22453062b4b9
Sean East II,17.160,25.836,673bd14c-085f-4173-9211-d62ae307b0e3
R.J. Davis,16.833,24.512,af3e4f66-d651-4875-9291-4ee32c6a65dd
Skal Labissiere,18.295,22.100,0943dbc8-178e-4cab-97d6-3f31747698ab
Curtis Jones,19.195,23.873,69489a71-b1eb-4fde-b687-6385e03c1e49
Sean Pedulla,18.619,29.087,6068f2de-9744-432d-b3f4-f73da0894927
Zhaire Smith,16.935,20.374,bf29165e-4d8e-4760-a070-5502dd6c2176
Jaden Shackelford,18.405,23.583,dfffb2fc-160c-41a4-9a75-af0a21d2ba76
RayJ Dennis,21.306,27.947,5c2a5944-cadb-4619-8b0d-04338c63a470
Jalen Crutcher,15.771,18.994,938ea26e-95ff-4f3b-a385-a965af8195b4
Tyler Burton,17.810,23.311,382afece-e02d-4ce2-92ac-92b1d2333d2c
Hunter Dickinson,16.955,22.878,00c80505-49a6-4ed4-ae3d-decf5a59b3a2
Trey Alexander,20.722,26.159,eae5a4b1-2701-4843-b7ed-ac8677e6446b
Kevin Knox II,19.395,23.641,868bf1ee-0aa9-4762-a685-b32801d25e6a
Dink Pate,15.313,23.502,dc8f2d40-88ec-44ef-b6ef-09404a5d49cd
DeAndre Williams,15.826,23.978,d240c74d-0376-4b1e-998d-190b778ced1b
Max Abmas,15.191,22.109,23961594-cb8d-4560-b709-2ace5a6b16a4
Jaylen Sims,14.875,22.406,4e475993-d453-43ef-a5dc-52e715e3e5db
Keion Brooks Jr.,14.771,22.959,088649fd-bea2-4353-a931-850c918b0337
Blake Hinson,22.094,24.991,64b12646-2555-4dd0-98eb-cb169b3ee58a
Josh Christopher,21.303,26.419,207daaca-464a-4e71-8c77-cae31615c0e3
John Tonje,16.326,22.201,5bfe6dcb-3da9-45f9-95c0-ed690168c7ba
Tristan Enaruna,18.973,22.688,998f2322-7dab-4353-99d7-b23e57eeb3ed
Dane Goodwin,14.265,17.557,83cf7787-d441-4c3a-b5de-a2b2a623350b
Kyle Mangas,16.209,20.720,509e10a3-69e7-41cc-a0b5-44de8eb4659f
DaQuan Jeffries,19.743,25.010,b969f906-aab2-4845-b038-70ec8482bed4
Malcolm Hill,16.732,18.516,99f046d4-e2fe-495e-92e9-472b6f6a9c22
Isaac Jones,18.053,22.793,a35d4b94-e6ff-4f4a-8f40-d64d70dd4c3a
