Passer,Passes,Passes Leading to Shot Per 100 Possessions,qSQ,SSI Player ID
Darius Brown,3316,39.879,54.01,b7ae8764-a482-4551-82ac-7a91c8292e4b
Daishen Nix,2787,27.450,52.80,06212573-e2e8-4bfa-98cd-4484063dead1
Kennedy Chandler,2622,32.450,51.99,90cef14e-ebcc-4a00-94e1-b06d8ca04701
Terrell Brown Jr.,2242,35.082,51.94,0784aa6d-2f58-4e8f-8fd0-d3cb2fd08ff8
Dillon Jones,2639,28.788,51.84,7c13f8c0-55bf-46b9-a41e-cbaeea35c13b
RayJ Dennis,2225,31.200,53.96,5c2a5944-cadb-4619-8b0d-04338c63a470
Hayden Gray,2537,30.440,50.94,e901ec95-f7cf-40c9-af32-8dabb981b3cd
Tristen Newton,2386,22.327,52.60,ea2c60f4-30d3-4154-b99e-b907b24658bf
Wade Taylor IV,2630,29.636,51.98,d809ed56-e0c4-48ab-9cb2-e6e94a8c0842
Reece Beekman,2436,29.040,53.99,a419b920-f119-41d8-af53-47d3b49ea811
Jalen Crutcher,2466,24.268,52.13,938ea26e-95ff-4f3b-a385-a965af8195b4
Coleman Hawkins,2034,29.766,51.78,769be316-e69b-4438-a859-7fbbad08accf
Mac McClung,2331,25.916,53.24,d9671fc0-754d-4cd1-b61d-2f6526c31497
Jaden Akins,2419,27.562,50.26,e6acbf72-2032-4b3f-9672-62f8052c1873
Sean East II,2250,26.504,51.56,673bd14c-085f-4173-9211-d62ae307b0e3
Curtis Jones,2678,26.044,51.74,69489a71-b1eb-4fde-b687-6385e03c1e49
Dalano Banton,2185,27.750,51.98,ccd8ec3b-3e5b-4f39-9b41-91882f179a73
Jon Elmore,2616,29.178,50.77,65bebd10-aa65-48ec-845f-2efcb122287a
Isaiah Stevens,2265,33.765,52.27,27b14c86-8f8d-4cd8-a8ec-bb051cd871bc
Harrison Ingram,2292,28.362,51.15,289b86f4-5aea-4603-a5e7-54793e5eb584
