Shooter,Shots Attempted,qSI (sum),SSI Player ID
Keshon Gilbert,182,2341.42,10762d58-0a4c-416e-8e01-0af744c29286
Isaac Jones,233,2263.20,a35d4b94-e6ff-4f4a-8f40-d64d70dd4c3a
Mac McClung,220,2046.58,d9671fc0-754d-4cd1-b61d-2f6526c31497
William Baker,162,1972.20,dc9d21e3-68f0-4270-a358-8e68da5bbafc
PJ Hall,157,1777.19,4af59bef-250a-46aa-a5d3-e448a55f61ad
Orlando Robinson,119,1698.21,e58d10b8-dbfa-46bc-9b80-d078501bcce7
Harrison Ingram,211,1649.40,289b86f4-5aea-4603-a5e7-54793e5eb584
Moses Brown,284,1638.85,81ca845d-dae4-46b5-89e6-86d619acb3c8
Chris Livingston,214,1565.28,f79d533e-f423-4752-a088-6d507d795bdb
Josh Oduro,226,1504.34,8356850f-e674-4868-8a3b-7cf5b6193dce
Isaih Moore,199,1470.20,ea2cbcac-0b28-454f-a3f7-a30bb1d6fbb1
Chris Manon,179,1448.08,5dde0a80-753d-41a6-9ffa-6193317a3a17
Hunter Dickinson,155,1419.84,00c80505-49a6-4ed4-ae3d-decf5a59b3a2
Emanuel Miller,165,1388.73,9333d369-df08-4c59-9073-3164d584f481
Tyreke Key,144,1369.93,a9ab59d3-2f04-49b0-b4fd-a265d98af568
DaQuan Jeffries,105,1349.97,b969f906-aab2-4845-b038-70ec8482bed4
Norchad Omier,322,1290.85,15c34e0c-e636-4bd1-a7db-6435d201f8c6
Alex Morales,235,1283.80,21a9c7c7-f211-4710-9932-3ecfa2fd4256
Tristan Enaruna,199,1274.86,998f2322-7dab-4353-99d7-b23e57eeb3ed
Lachlan Olbrich,96,1259.83,684950fe-3bcb-47f2-8bfa-a9941e216b28
Dain Dainja,210,1242.94,3d560bd7-c964-492e-97b7-12c4feda4079
Eric Dixon,88,1241.29,11ec3e54-7b96-4e1f-856e-8933eb8de9c3
Arthur Kaluma,129,1240.16,c7a03fd4-8ba5-4f9e-b62d-db9492da6f1c
Kaleb Johnson,90,1200.65,51e2e08f-d07e-4dbd-a05f-bba8e5c69f96
Lester Quinones,153,1183.70,e4c6a53d-37a8-4278-9230-5a9d9ccc6d02
Cameron Hildreth,119,1165.71,2c4cbc5a-83fe-4562-afdd-859499b77aa5
CJ Huntley,246,1163.96,a93dac29-3dee-4328-8787-673c2c4d207c
Donovan Williams,145,1150.75,12136b74-23d8-49b4-b4de-98a320969c76
Andrew Carr,110,1071.11,d2f39898-17d1-4d74-bfca-1719672b051a
Wendell Moore Jr.,155,1065.10,96f746dd-7dfb-4ea4-a98c-39ed5d2a0fd5
Reece Beekman,122,1020.84,a419b920-f119-41d8-af53-47d3b49ea811
LJ Figueroa,133,1018.06,629382e8-fcc6-4974-b0a3-99fd67940f2d
Julian Reese,142,1009.71,9f1b6ada-6f2a-4683-9f79-e98b06d24f06
Chaney Johnson,109,1009.63,4007e9ee-5f46-4b39-9d77-0001aa54f1f4
M.J. Iraldi,121,1008.40,bc70e8c9-c8ff-44fc-b539-10f863d5efec
Zhaire Smith,295,1006.76,bf29165e-4d8e-4760-a070-5502dd6c2176
Keyontae Johnson,145,1003.50,d5348336-15a5-416f-8312-bd7030a6277b
Alize Johnson,160,964.53,c97ec77d-b190-477c-8f04-2d8be4554830
Chris Youngblood,67,955.42,35206de4-a3c1-415a-b596-126c0ab7b44a
Jeremiah Robinson-Earl,150,947.07,1a9ac6bd-8b02-4fe8-8096-c435a2a90100
Tyson Degenhart,123,943.53,7ce310e3-5034-435f-85fd-9db70356ed75
Coleman Hawkins,118,920.18,769be316-e69b-4438-a859-7fbbad08accf
Cormac Ryan,95,919.88,f3f41cea-955b-4ff5-b6fc-69991789d721
Justin Minaya,111,916.76,8a534421-7dd1-49c4-a304-7b5a2341f904
Jaden Shackelford,96,911.54,dfffb2fc-160c-41a4-9a75-af0a21d2ba76
Amari Williams,131,904.14,7f8f2047-20da-4fde-b1c4-e046ef5d94f1
Quincy Olivari,66,896.76,cbbbce73-763b-4e1d-820b-1b8f62857eaa
Cameron Parker,62,879.78,15e3cffa-aed2-4d74-a8e0-ec06dfea63c6
Marques Bolden,131,837.40,95b6d616-e911-4060-869d-7f633e7ec049
Kobe Bufkin,96,798.55,9e453254-b85d-43ba-a615-8bf683d94834
Tolu Smith,216,792.28,dea8af5c-b86c-4445-b191-20c7806e6a4e
John Butler Jr.,94,787.53,16110c22-e5e0-4925-94a9-959285132aeb
Marcus Garrett,106,776.49,723b0c0c-ac5b-4b0c-b84c-01da7be6c705
Alex Reese,65,773.21,1f6ef8b2-5d7a-4ca6-a9f2-cc8c06c032b8
Alex Schumacher,61,772.16,74b58589-0ca1-4a71-ac83-93c57a2e8b83
Kira Lewis Jr.,93,767.10,ce287780-67de-44fa-86c2-d87dec5a1e28
Mo Bamba,117,765.32,ee761e41-d0d2-4a56-84cf-353e2ae5a961
Steven Crowl,78,764.58,ee193c16-33d6-4aac-9688-7dde65cf6671
Javonte Cooke,111,759.71,0c8af3e4-85bf-4c62-921b-d5cc21594198
Saint Thomas,99,747.87,9ac60fc8-a677-4c67-8b1a-92c61ac71eec
Tristen Newton,128,744.16,ea2c60f4-30d3-4154-b99e-b907b24658bf
DeJon Jarreau,97,741.84,3cd02b89-3d2f-46ff-b392-29215f6825b4
Patrick Baldwin Jr.,139,736.39,45b328c0-b3b8-4a36-a0c1-28e39227ca85
Hason Ward,159,735.24,99828648-af70-4757-ac4f-8f3e6c8364f5
Colin Castleton,121,733.78,cb160212-66c3-46cf-8728-c0d6612456f8
Alijah Martin,129,719.34,c1035422-a088-42e6-8ad3-db400bb52aa1
Johni Broome,134,711.92,12c34cc3-1005-4454-bcfa-a5332744fd4c
Victor Oladipo,94,703.82,ff415fa8-89ef-11e6-bc85-a45e60e298d3
Drew Timme,124,692.29,30998b89-18c0-4086-ae61-1830056bb1b7
Charlie Brown Jr.,134,683.73,dfa6209b-514d-438b-9c4c-bd6f1ff85613
Jamarion Sharp,137,677.38,02b5523f-9555-42f2-b2a7-3ba79ce5e959
Johnny Davis,108,663.43,bd507dbb-cb87-4e45-ad2e-1990df07ac20
Damion Baugh,111,647.66,bcde43ef-a7dd-4d4d-9d7e-a0585052e0b9
Asa Newell,109,641.26,eb38ea24-c68c-4f72-9a55-2e397b4f0124
Vladislav Goldin,92,638.44,0d1efd50-8b55-402c-af4a-3400a0ecf19e
Nate Williams,158,637.60,3ab12c09-2aae-4bc0-a45e-0132e6751116
Stephen Thompson,73,629.74,41e105ed-f146-4aef-a65b-262abde1841e
Javonte Smart,89,620.93,a340ee6f-51b2-400d-8c06-295617b4c779
MarJon Beauchamp,102,616.79,a17b838f-efcd-4d85-adab-39e05d579e13
Sean Pedulla,173,607.26,6068f2de-9744-432d-b3f4-f73da0894927
Matthew Cleveland,123,606.17,45913c55-0376-4b4f-9935-00471ffb3033
Zyon Pullin,88,605.42,21f03dac-c84d-48c5-80ce-a54781f63914
James Bouknight,138,603.53,a4bca3d5-c8c6-408f-a4bf-22453062b4b9
R.J. Davis,89,601.00,af3e4f66-d651-4875-9291-4ee32c6a65dd
Rocco Zikarsky,196,600.56,7a36a328-5e4b-42b6-a21b-39e9f97e0188
Khaman Maluach,56,586.74,d4dcccfe-9470-4fef-bac2-e9f6aa1cfd32
Zach Freemantle,134,582.63,aaa72835-bf87-4903-8432-953c82e91876
DaRon Holmes II,98,580.06,33ee598f-dbec-467d-982c-9722af3b3261
Tyrese Samuel,172,575.70,f4159312-f59d-46f6-a72d-afb990d1e80a
Jayden Nunn,145,574.82,174b4cc1-dd31-428b-97ad-093422ffe324
Kevin Knox II,87,572.38,868bf1ee-0aa9-4762-a685-b32801d25e6a
Dillon Jones,107,570.48,7c13f8c0-55bf-46b9-a41e-cbaeea35c13b
Jalen Slawson,123,565.95,ee32b868-f2aa-47fd-bc12-e2df467173a0
Sy Chatman,46,562.35,ea9cdbe0-fa96-437f-99d0-f1c67185f3e7
John Tonje,113,557.56,5bfe6dcb-3da9-45f9-95c0-ed690168c7ba
Jaylin Williams,104,557.29,db384374-d594-45b6-a3de-9aa8a66dc226
Dane Goodwin,132,550.01,83cf7787-d441-4c3a-b5de-a2b2a623350b
Jarkel Joiner,113,542.07,994212e5-17be-4696-bd46-0efcd68787bc
Yang Hansen,90,540.29,c6156c46-4275-4470-bed6-6c382811ef91
Jaylen Martin,85,540.26,70021baf-68ca-4b04-a865-fe10b1450b62
Dalano Banton,208,540.08,ccd8ec3b-3e5b-4f39-9b41-91882f179a73
Josiah Allick,102,539.55,46de8a99-497a-49cd-a9ec-347e787439e3
Bez Mbeng,76,537.42,117522bd-3f51-4ef9-99ae-8cf060df132b
Justin Harmon,129,530.95,4c8abee4-0270-4d98-b4ab-cff9969857fc
Grant Nelson,80,529.49,c4012fed-7c3d-4171-a8c7-3432c061c9d7
Pete Nance,43,520.44,a9d51846-7123-4773-be70-de509c877a08
Trevor Keels,94,518.96,58189b84-2563-4034-984b-e61021022c4c
Jameer Nelson Jr.,106,514.24,55218f5a-96d0-455d-953e-1af096389bc1
Jules Bernard,186,508.91,7c2fd9b6-9749-4ca1-8d58-b773ff9223dd
Osayi Osifo,87,506.75,c1f25993-dd81-43fd-a710-d7b67b6bd974
Giorgi Bezhanishvili,179,502.33,4d0b25c0-eb2c-423a-875e-ba9f74999bdf
Tosan Evbuomwan,111,496.25,3836af33-7171-4f6b-b4e3-7dc129d8efa6
AJ Hoggard,64,496.21,91fbbfa3-eabc-4c5d-b0d0-b2fc674c84bb
Makhi Mitchell,59,492.08,fec781d1-53e1-4e5e-baf1-7937603be356
Trey Jemison III,67,487.18,48e06536-9d6f-4027-9d17-ec477a9ae3a2
Kyle Guy,57,485.12,9eed3d99-6049-4cd0-96bb-4fabb8ad8ddd
Mark Sears,115,481.08,6af77143-6aac-4199-ac80-bfa704e2ca51
Kendall Brown,145,481.08,84863ea4-7e22-4827-9c1e-091a16291b37
Max Abmas,59,473.94,23961594-cb8d-4560-b709-2ace5a6b16a4
Antonio Reeves,94,471.38,19004e0e-7982-4513-bdba-24e11e49d49d
Malachi Smith,108,470.46,cf11631f-67ad-4f08-9466-e66859baa68e
Trey McGowens,86,463.42,a17cb8d2-4fe7-49a1-b4b9-e56f6316d694
David Jones Garcia,61,457.44,8207e744-783c-4fac-8d78-52acb829f00c
Samson Johnson,163,454.71,68596e1c-c815-41b9-ae9b-a8179fee1f36
Ibrahima Diallo,61,453.64,505bb488-33f9-485b-9cce-e0533d462cf1
