Shooter,Shots Attempted,SSI Player ID
Tristen Newton,124,ea2c60f4-30d3-4154-b99e-b907b24658bf
Lester Quinones,105,e4c6a53d-37a8-4278-9230-5a9d9ccc6d02
Curtis Jones,100,69489a71-b1eb-4fde-b687-6385e03c1e49
Skal Labissiere,98,0943dbc8-178e-4cab-97d6-3f31747698ab
Sean East II,94,673bd14c-085f-4173-9211-d62ae307b0e3
RayJ Dennis,92,5c2a5944-cadb-4619-8b0d-04338c63a470
John Poulakidas,87,12bf97f3-6476-4443-af11-5228771faf66
DaQuan Jeffries,86,b969f906-aab2-4845-b038-70ec8482bed4
Malcolm Hill,84,99f046d4-e2fe-495e-92e9-472b6f6a9c22
Trey Alexander,81,eae5a4b1-2701-4843-b7ed-ac8677e6446b
Dink Pate,80,dc8f2d40-88ec-44ef-b6ef-09404a5d49cd
Mac McClung,79,d9671fc0-754d-4cd1-b61d-2f6526c31497
Max Abmas,79,23961594-cb8d-4560-b709-2ace5a6b16a4
Stephen Thompson,78,41e105ed-f146-4aef-a65b-262abde1841e
Trevor Keels,76,58189b84-2563-4034-984b-e61021022c4c
Jaylen Sims,75,4e475993-d453-43ef-a5dc-52e715e3e5db
Tyler Burton,75,382afece-e02d-4ce2-92ac-92b1d2333d2c
Koby Brea,74,e2c4bc9d-2cb8-49d6-962a-07bed124b6c8
Kyle Mangas,74,509e10a3-69e7-41cc-a0b5-44de8eb4659f
Kevin Knox II,73,868bf1ee-0aa9-4762-a685-b32801d25e6a
John Tonje,72,5bfe6dcb-3da9-45f9-95c0-ed690168c7ba
Dane Goodwin,71,83cf7787-d441-4c3a-b5de-a2b2a623350b
Dexter Dennis,71,b9d78738-9b74-4fdb-9c3f-bce9cb72377a
R.J. Davis,71,af3e4f66-d651-4875-9291-4ee32c6a65dd
Jaden Shackelford,70,dfffb2fc-160c-41a4-9a75-af0a21d2ba76
Sean Pedulla,70,6068f2de-9744-432d-b3f4-f73da0894927
James Bouknight,70,a4bca3d5-c8c6-408f-a4bf-22453062b4b9
Keion Brooks Jr.,68,088649fd-bea2-4353-a931-850c918b0337
Jules Bernard,67,7c2fd9b6-9749-4ca1-8d58-b773ff9223dd
Boo Buie III,67,2327ad6b-a87c-4b5c-8dbb-c64690426e98
Jaden Akins,67,e6acbf72-2032-4b3f-9672-62f8052c1873
Wade Taylor IV,67,d809ed56-e0c4-48ab-9cb2-e6e94a8c0842
Antonio Reeves,66,19004e0e-7982-4513-bdba-24e11e49d49d
Jalen Bridges,65,1c7e1fdd-3a9d-4509-b079-a329c993e9d4
Mitchell Mascari,65,fdc935b9-0c73-4ca7-ba6b-f3b5aa1f2205
Hunter Dickinson,64,00c80505-49a6-4ed4-ae3d-decf5a59b3a2
