Player,Touches,Shots Per Touch,Avg. Touch Length,% TOV,% Touched Paint,SSI Player ID
Darius Brown,3322,0.10867,4.912,3.28,12.28,b7ae8764-a482-4551-82ac-7a91c8292e4b
Daishen Nix,3214,0.21873,5.255,4.51,18.67,06212573-e2e8-4bfa-98cd-4484063dead1
Curtis Jones,3155,0.2019,4.027,2.41,13.19,69489a71-b1eb-4fde-b687-6385e03c1e49
Dink Pate,2902,0.19883,3.750,3.51,15.16,dc8f2d40-88ec-44ef-b6ef-09404a5d49cd
Jon Elmore,2896,0.14088,4.164,2.07,11.84,65bebd10-aa65-48ec-845f-2efcb122287a
Dillon Jones,2883,0.14915,3.899,3.12,14.88,7c13f8c0-55bf-46b9-a41e-cbaeea35c13b
Jaden Akins,2869,0.18926,5.484,4.74,15.41,e6acbf72-2032-4b3f-9672-62f8052c1873
Tristen Newton,2866,0.26029,4.271,3.63,20.87,ea2c60f4-30d3-4154-b99e-b907b24658bf
Kennedy Chandler,2844,0.17581,5.871,3.20,16.84,90cef14e-ebcc-4a00-94e1-b06d8ca04701
Mac McClung,2843,0.24587,4.940,4.12,23.64,d9671fc0-754d-4cd1-b61d-2f6526c31497
Trey Alexander,2837,0.19563,5.015,3.07,18.15,eae5a4b1-2701-4843-b7ed-ac8677e6446b
Wade Taylor IV,2829,0.14457,4.622,3.89,10.25,d809ed56-e0c4-48ab-9cb2-e6e94a8c0842
Dalano Banton,2781,0.25027,5.353,4.64,23.73,ccd8ec3b-3e5b-4f39-9b41-91882f179a73
Max Shulga,2763,0.16721,4.784,4.13,14.77,be819393-353e-4c46-b682-d2ee0d11e736
Jalen Crutcher,2753,0.17254,4.333,3.09,14.97,938ea26e-95ff-4f3b-a385-a965af8195b4
Sean East II,2722,0.2072,5.134,3.45,17.45,673bd14c-085f-4173-9211-d62ae307b0e3
Hayden Gray,2614,0.12892,4.444,2.98,12.59,e901ec95-f7cf-40c9-af32-8dabb981b3cd
RayJ Dennis,2602,0.23059,5.164,3.84,23.21,5c2a5944-cadb-4619-8b0d-04338c63a470
Boo Buie III,2588,0.19784,4.638,2.55,17.12,2327ad6b-a87c-4b5c-8dbb-c64690426e98
Reece Beekman,2515,0.12644,4.522,3.34,23.46,a419b920-f119-41d8-af53-47d3b49ea811
Damion Baugh,2508,0.2181,4.837,4.27,19.82,bcde43ef-a7dd-4d4d-9d7e-a0585052e0b9
Harrison Ingram,2479,0.1553,3.361,2.50,19.93,289b86f4-5aea-4603-a5e7-54793e5eb584
Keshon Gilbert,2463,0.17905,5.848,4.91,26.59,10762d58-0a4c-416e-8e01-0af744c29286
Max Abmas,2463,0.20788,4.246,3.13,13.11,23961594-cb8d-4560-b709-2ace5a6b16a4
Terrell Brown Jr.,2446,0.17457,4.858,2.33,16.15,0784aa6d-2f58-4e8f-8fd0-d3cb2fd08ff8
Jules Bernard,2421,0.27881,4.544,4.71,24.87,7c2fd9b6-9749-4ca1-8d58-b773ff9223dd
Isaiah Stevens,2397,0.14894,4.853,3.05,18.56,27b14c86-8f8d-4cd8-a8ec-bb051cd871bc
Jalen Slawson,2376,0.16456,2.412,3.11,16.58,ee32b868-f2aa-47fd-bc12-e2df467173a0
R.J. Davis,2366,0.23161,5.624,3.68,19.15,af3e4f66-d651-4875-9291-4ee32c6a65dd
Mark Sears,2363,0.1862,4.983,3.64,18.32,6af77143-6aac-4199-ac80-bfa704e2ca51
