Player,Picks Taken Per Game,Picks Set Per Game,Minutes (Total),SSI Player ID
N'Faly Dante,0.000,9.667,29,d6eaf02a-27a0-4e40-8641-632e8d39f965
Vernon Carey Jr.,0.000,17.571,82,9dc84f16-116c-451e-a191-b54f210fecbe
Maxime Raynaud,0.000,24.000,33,31a1e47b-7784-4021-b7f2-31e4ef972892
Christian Koloko,0.000,24.200,98,efbab460-ac97-49e1-aa9f-6e7da27ab2df
Lacey James,0.056,19.889,280,04c6579b-6a42-4b88-944b-6cc896241e84
O'Mar Stanley,0.071,9.679,273,c35585ea-5c0e-4c72-bd00-07eceb71ee47
Omer Yurtseven,0.000,31.667,78,6811ad75-3527-4bfc-b0bc-8fd46ec62535
Steven Crowl,0.081,16.595,719,ee193c16-33d6-4aac-9688-7dde65cf6671
Jeremiah Tilmon,0.000,23.000,501,285400dc-29c2-4d6a-83a0-5b87049c14f0
Ibrahima Diallo,0.031,21.594,443,505bb488-33f9-485b-9cce-e0533d462cf1
Nathan Mensah,0.000,22.500,32,af5b863f-7d13-40f9-83f9-38f87c76098c
Lachlan Olbrich,2.000,25.944,492,684950fe-3bcb-47f2-8bfa-a9941e216b28
Yang Hansen,0.333,19.190,557,c6156c46-4275-4470-bed6-6c382811ef91
Vladislav Goldin,0.000,20.400,610,0d1efd50-8b55-402c-af4a-3400a0ecf19e
Derek Ogbeide,0.041,16.061,666,4f5b0cc7-0740-4ebb-8b37-c464b1f421f3
Trey Jemison III,0.067,31.500,706,48e06536-9d6f-4027-9d17-ec477a9ae3a2
Yanic Konan Niederhauser,0.000,32.333,219,c4c0b9a3-5f7e-4611-977b-e0d73c08a29c
Orlando Robinson,0.250,21.500,559,e58d10b8-dbfa-46bc-9b80-d078501bcce7
Cheikh Mbacke Diong,0.000,7.250,66,7efefdc5-c8ee-4221-ac12-a35549517aa2
Micah Potter,0.769,22.231,371,1e89c60d-b20e-4499-aba4-b13dba295a52
Ibou Badji,0.036,9.536,363,9e3a3a92-a664-48f7-97d2-0f8f27735dbd
Jaden Bediako,0.000,3.111,23,d22cb3b8-91ce-4a2a-bae7-a358a426a9af
Josh Cohen,0.000,2.500,43,e74d5547-334a-49c7-b5e5-a33913f3596c
Kylor Kelley,0.065,26.806,686,08d8e7a7-6e98-43fb-808a-803728ffe738
Ebenezer Dowuona,0.000,16.579,238,d435507a-b78e-4251-8feb-ad8c5d01dcb1
Jacksen Moni,0.375,8.800,812,b16076ab-b7f1-4f61-b1ce-87471a1be027
Rocco Zikarsky,0.047,20.256,941,7a36a328-5e4b-42b6-a21b-39e9f97e0188
Mo Bamba,0.091,25.182,527,ee761e41-d0d2-4a56-84cf-353e2ae5a961
Jonas Aidoo,0.000,8.406,333,18e9a256-6619-4a10-a5dd-2c89bb7cfb0a
David Muoka,0.024,19.976,671,c5a7468d-b9c2-4814-a823-b9bf4a58358f
Drew Cisse,0.000,14.289,663,4943e7dd-a830-4c29-bd39-a8b168bf00b9
Malik Williams,0.188,18.208,1132,91d9d39e-7ed1-4320-80fc-4d487e79b1fa
Johnny O'Neil,1.444,3.400,1005,266b9ca1-6596-4d2a-947a-0f602c0af725
Jamarion Sharp,0.000,20.947,822,02b5523f-9555-42f2-b2a7-3ba79ce5e959
Branden Carlson,0.000,26.667,65,c401774b-397d-4c15-93a0-592eb4752dac
Olivier Sarr,0.149,20.213,972,584a880d-84b9-40fd-876e-852044392606
Charles Bassey,0.100,28.750,520,089bae1f-5cd7-438c-8ebb-061918727a25
Ariel Hukporti,0.429,30.429,166,91a10e2e-9784-440d-b0a4-83a8db044c1d
William Baker,0.114,15.159,717,dc9d21e3-68f0-4270-a358-8e68da5bbafc
Olisa Akonobi,0.000,16.000,25,a623abae-de32-4858-8b44-1eaebb33f0a8
Abou Ousmane,0.000,21.915,725,585d08a6-4aa1-45ad-81f0-76cb2c579ab1
Khaman Maluach,0.182,31.636,279,d4dcccfe-9470-4fef-bac2-e9f6aa1cfd32
Charles Bediako,0.000,13.875,208,40e03646-000c-4ccf-a366-50f9477583e5
Colin Castleton,0.000,22.125,593,cb160212-66c3-46cf-8728-c0d6612456f8
Moussa Cisse,0.000,26.063,376,b4769ff6-6ae9-446a-a262-0b849da72338
Makhi Mitchell,0.000,14.094,353,fec781d1-53e1-4e5e-baf1-7937603be356
Tomas Chapero,0.020,29.941,992,5909ae5b-81cc-4f42-adb1-912f0c19edfc
Vinicius Da Silva,0.000,18.444,118,63049d09-0880-48ee-af08-c8f25b874237
Hunter Dickinson,0.114,25.932,1165,00c80505-49a6-4ed4-ae3d-decf5a59b3a2
Lawson Lovering,0.000,29.690,688,ee296dd9-8d26-420c-9aa1-271f6b6a2222
Liam Robbins,0.000,14.206,522,831eb28e-7713-4fbe-bf6b-dd0e1e20b1f5
Chase Jeter,0.050,13.750,213,ea3ac175-ec80-45da-aa31-7c38b04c7657
Josh Oduro,0.419,16.000,1104,8356850f-e674-4868-8a3b-7cf5b6193dce
Moses Brown,0.000,22.513,824,81ca845d-dae4-46b5-89e6-86d619acb3c8
PJ Hall,0.324,21.676,833,4af59bef-250a-46aa-a5d3-e448a55f61ad
Samson Johnson,0.059,17.912,620,68596e1c-c815-41b9-ae9b-a8179fee1f36
Noah Starkey,0.000,8.000,18,f5063d15-52b4-45d8-9151-24339b9db9b3
Dylan Cardwell,0.000,26.875,408,fb79aa4f-8468-454c-80db-1768d95b4e42
Marques Bolden,0.310,21.833,990,95b6d616-e911-4060-869d-7f633e7ec049
Seth Maxwell,0.000,8.100,256,12d95e3f-d714-4300-978c-245c9d0f302c
James Banks III,0.021,16.792,752,f4a998d1-4507-43b9-91e3-832dde032d54
Garrison Brooks,0.192,13.692,450,146c7c56-b7ad-4925-8a9e-93d2c5db55bc
