Player,Picks Taken Per Game,Picks Set Per Game,Minutes (Total),SSI Player ID
Aaron Scott,0.500,4.500,632,800b6f8d-e4b2-40c8-9891-40fa3f84efc3
Fousseyni Drame,0.000,0.500,27,0870aa3a-22ad-4cf6-8f45-cbe6ca3f7e75
Cameron Smith,0.500,0.500,58,bd762247-fb20-496c-af57-0abcde142d02
Alex Toohey,3.000,5.000,35,ac601971-3fa2-4aff-940d-0f5fa3745d0c
Chaney Johnson,0.054,0.081,856,4007e9ee-5f46-4b39-9d77-0001aa54f1f4
Christian Shumate,2.000,3.650,944,40ebb929-1947-4008-9cdc-046aa3a4bd87
David Jones Garcia,6.063,1.313,455,8207e744-783c-4fac-8d78-52acb829f00c
Andersson Garcia,0.225,17.400,920,9b93509f-b8d1-4066-ba4c-6338fed2a84f
Ray Spalding,0.000,6.250,41,ef25a4fc-8a16-4dd9-a1fa-e236cd842a32
Robert Woodard II,0.667,1.667,26,9bedc1b4-449c-42cb-b9a2-9b0cd3596329
John Ukomadu,0.923,2.173,1126,b4f22d30-f720-4880-9fc3-a7a1f5679086
Isaiah Todd,0.000,15.000,39,1dbb419d-3008-45c5-aade-fb964248499e
Onno Steger,0.364,0.727,69,f033b782-7e16-4a10-b000-aff290ea4400
Isaiah Crawford,3.182,8.000,647,cc5a020f-5862-494b-a997-26288b4f4f12
Josh Minott,1.333,0.667,64,3dafdc09-40d9-4934-b9c9-8be3bd3eb90a
Jaden Seymour,0.222,0.556,35,667eabca-780b-45aa-8d74-a3418e732e81
Grant Nelson,0.100,18.800,338,c4012fed-7c3d-4171-a8c7-3432c061c9d7
Dalen Terry,17.000,1.667,79,8fc64d15-1d47-47e1-bb04-d03f75dccc5a
Harrison Ingram,11.366,5.976,1233,289b86f4-5aea-4603-a5e7-54793e5eb584
Jamison Battle,6.000,14.000,32,74f1f473-4fc6-4175-bf32-f1f99de73ef8
Chris Livingston,3.324,4.118,892,f79d533e-f423-4752-a088-6d507d795bdb
Kobe Brown,7.000,8.500,58,751e59b1-45ae-45f0-bc03-01f6c87520a5
Tolu Smith,0.519,26.704,679,dea8af5c-b86c-4445-b191-20c7806e6a4e
Pedro Bradshaw,0.889,2.556,249,881e8c41-f4cb-44fa-9caa-782d1e294daf
Tidjane Salaun,2.313,7.875,437,abc5b21b-f2eb-40cb-a9e6-6eb5abeafe60
Dain Dainja,0.306,13.592,897,3d560bd7-c964-492e-97b7-12c4feda4079
Jabri Abdur-Rahim,2.174,6.826,499,5ba18e46-b710-44bf-8369-1185adf0ce77
Drew Timme,5.696,20.826,646,30998b89-18c0-4086-ae61-1830056bb1b7
E.J. Liddell,1.400,9.160,657,f76c835b-10f6-42aa-aafe-3c87b5be8866
T.J. Warren,5.250,4.000,204,ff401666-89ef-11e6-b554-a45e60e298d3
Kaden Anderson,0.056,10.333,245,d3403310-4ad2-4ea2-9072-623f9adefc8d
Malevy Leons,2.939,10.545,972,a6b91d1a-7a93-4bda-8562-d762d1f5ad47
Luke Goode,0.171,6.049,638,4144db18-4210-42b8-af58-fd1dd83e87c6
Alex Fudge,0.073,8.610,567,1f5a0d41-0c51-4353-9d7a-503196852e33
Basheer Jihad,0.021,15.213,877,bd9b1fa0-957f-4365-8af3-a545d525965b
Luke Travers,12.000,4.333,409,ef24e628-6674-47d2-8fea-a8ceb61e0fb6
Tyson Degenhart,0.608,7.333,946,7ce310e3-5034-435f-85fd-9db70356ed75
Terrence Hargrove Jr.,0.500,0.565,733,06c40ea5-9150-470e-8f6a-7cde4a102ef6
Feron Hunt,11.500,6.500,49,5210db69-14a3-4c9b-ad2a-62c349f4ac65
Amari Williams,0.310,23.103,738,7f8f2047-20da-4fde-b1c4-e046ef5d94f1
Kalil Thomas,0.600,1.600,92,1e30df52-91e3-4394-8265-d813a892b8c7
Terry Taylor,1.889,6.333,224,0852ab90-243b-4951-bfb0-c536f151cba5
Jackson Rowe,5.200,9.600,140,87777cd1-2099-4edd-8256-f29343fa0fd4
Keylan Boone,0.000,1.000,6,57039dfd-7492-49c5-b3c3-30c8422fda2d
Isaac Jones,1.381,15.667,1113,a35d4b94-e6ff-4f4a-8f40-d64d70dd4c3a
Isaiah Roby,1.618,18.147,784,19602b62-cfbe-4d35-81f5-bc244327960e
GG Jackson,9.750,7.125,227,de22ebf7-4f76-48b4-805b-b5f87858922f
Davonte Gaines,1.000,2.500,24,6e74a308-26d0-4ebb-b5f2-5a0dbe334f86
Tre King,0.294,7.794,431,2928912b-dd61-4f60-aa20-a01d295e03d6
Johnny O'Neil,0.378,0.889,1005,266b9ca1-6596-4d2a-947a-0f602c0af725
Jalen Slawson,4.714,7.857,1005,ee32b868-f2aa-47fd-bc12-e2df467173a0
Myron Gardner,1.111,3.000,193,8de6d5bf-730c-4c48-8f00-7f9da72e979e
Taylor Hendricks,1.000,9.286,164,91ee33ca-2f8a-421c-8a4d-b0f98d5bc54c
Riley Minix,3.371,10.171,986,d4332b50-b7fb-4429-9525-e10587f584d9
Stefan Todorovic,1.590,2.333,520,a0dbe31a-75c6-4777-a920-d506c5633bdf
Chandler Baker,0.125,0.250,65,db071247-1883-4852-b647-0b794ee7cdee
Daniel Batcho,0.000,12.241,285,72e13ad0-9840-41e7-b88f-ab295ef762fb
Tristan Enaruna,1.846,7.590,1066,998f2322-7dab-4353-99d7-b23e57eeb3ed
Kessler Edwards,1.767,4.633,843,0dbaa8bb-491d-40b7-ad09-f4605dda699c
Miller Kopp,1.290,6.419,744,817c559a-6812-42ce-8373-1e8132f3b917
Cody Martin,13.714,2.071,374,0000b397-3cf4-4dd4-a910-000000000131
Danny Wolf,1.714,21.714,204,0b1b2334-050a-4f4e-bae7-3865147c950f
Akoldah Gak,0.067,14.222,634,e6e552fd-83e6-4bb7-b80a-9b0bae80ad1c
Sean McDermott,4.000,8.310,1116,b5d46463-618d-4328-a3ac-31239ed7af7e
Steven Richardson,1.444,4.889,332,1baa93ad-ae20-4faf-b428-11c4aac33778
Saint Thomas,11.936,2.468,1099,9ac60fc8-a677-4c67-8b1a-92c61ac71eec
Tyler Smith,0.645,9.355,739,b701694c-6da2-49de-b9a7-ae092466ce67
Nathan Mariano,0.063,5.938,153,6e090c81-2a42-43d1-9e4e-bd5a04f09b10
Marcus Bagley,0.778,2.556,181,a39bf7f9-11fd-434e-9673-4a184061ad7d
MarJon Beauchamp,12.583,3.042,756,a17b838f-efcd-4d85-adab-39e05d579e13
Oscar Tshiebwe,0.000,22.955,535,9234048a-d7a7-4f77-8d48-3b95b6365ae0
Jalen Bridges,2.320,4.020,1418,1c7e1fdd-3a9d-4509-b079-a329c993e9d4
Cam Young,0.769,2.000,186,f61521e8-e7f3-4526-a0fa-efedc3c820ca
Taylor Funk,1.366,5.390,939,951413b1-0a17-4edf-841a-5ca7b9a2c275
Mohamed Diawara,5.667,2.000,66,cb172f69-5e77-4552-a43b-b2993cb7f689
Ileri Ayo-Faleye,0.000,0.500,20,8419ad0c-1d1b-41ad-a04b-4d8bd3aff0a0
Skal Labissiere,0.708,23.938,1325,0943dbc8-178e-4cab-97d6-3f31747698ab
John Butler Jr.,0.149,13.979,1192,16110c22-e5e0-4925-94a9-959285132aeb
Carter Bryant,2.000,3.000,25,18dc7187-8fc5-47bf-9779-e7a7694c498c
Tyrese Martin,13.333,4.667,101,1d3ff68e-d714-4f70-b952-02cf2252e990
Brian Taylor,0.480,1.720,375,ef62751a-0816-46fa-9160-054ef9ec64e4
Warith Alatishe,0.023,10.318,601,ef3f7448-40b8-4701-8feb-456aaa4d1c6e
Bobi Klintman,2.300,3.200,674,61c18542-cf37-49c7-b486-337bb809d326
Isaiah Hawthorne,0.423,2.769,275,e186218b-ea58-4542-af85-ac121949c255
Zach Freemantle,0.180,18.260,1195,aaa72835-bf87-4903-8432-953c82e91876
Trayce Jackson-Davis,0.333,24.667,80,1991b894-8a5e-4744-a72d-9bd7cb7663c3
DaRon Holmes II,0.955,23.000,658,33ee598f-dbec-467d-982c-9722af3b3261
Enrique Freeman,0.825,18.650,1166,f838df3f-72c5-4cf1-a555-7182e3dccd13
Andrew Carr,0.367,12.306,1076,d2f39898-17d1-4d74-bfca-1719672b051a
Tyler Polley,0.143,2.714,665,e48e99e8-0b78-493c-9d6f-15b65e7869c6
Will Riley,19.500,2.500,108,3fb6c927-c443-46a9-aecb-1105dfb05233
Jaylin Williams,0.957,11.830,1107,db384374-d594-45b6-a3de-9aa8a66dc226
Eli John Ndiaye,0.667,13.778,205,541d7cbf-04ae-40eb-9401-fc9f1fffdcf2
Jamir Watkins,5.125,8.250,233,84ba6ce6-9c37-4225-8f84-14a5cbacea65
Asa Newell,0.333,20.600,423,eb38ea24-c68c-4f72-9a55-2e397b4f0124
Quincy Guerrier,0.250,5.500,489,e7a09800-4dd6-4745-8dc3-2bb848800f9e
Matt Cross,0.250,6.056,698,8b71b1ce-93f8-4cf0-9099-64c91af44202
Gabe Levin,0.154,23.641,855,154a9e91-a046-4e1d-bd25-0fdf6dc87f45
