Player,Picks Taken Per Game,Picks Set Per Game,Minutes (Total),SSI Player ID
Dakota Mathias,6.222,8.889,308,9f1f34c6-66d2-4093-9328-d2fffffb97d5
Jamal Mashburn, Jr.,7.400,0.733,224,e2dcfe4a-9e16-4ab8-8eee-e15ca0db6eb5
LJ Cryer,27.944,3.889,484,51c89cc1-c192-4e07-878a-436ad5c2c70a
Tyrese Hunter,5.962,0.615,305,4f89702e-6e19-48ef-9be1-8da8a0837a2f
Colby Jones,14.250,0.500,249,80ea0675-30db-4ebf-b37f-eb50552e8d0e
Evan Gilyard,15.500,1.167,679,0f656aa8-c62c-4fad-ad9f-3442cdc15e50
Desmond Cambridge,2.029,1.343,510,5f4ae0bb-b9a5-4c83-8441-1e627500c265
Antonio Reeves,4.528,3.722,989,19004e0e-7982-4513-bdba-24e11e49d49d
Pierre Crockrell II,14.381,0.095,383,1a254905-e1db-43b8-9f5c-b1bf4e663150
Jordan Forbes,7.500,0.000,17,d03f53e6-1f95-47b7-a843-dab2a10456f0
Zack Austin,1.900,5.200,468,cdb9a6bd-2259-43bc-9209-03da5b72234b
Javon Freeman-Liberty,8.571,0.714,185,a28cdf29-f659-4646-b964-87ec3c295ae4
Caleb Mills,1.750,0.000,23,05febea3-f49a-42f6-8214-9cdb36006544
Caleb Love,25.200,2.000,299,163d0a85-fc13-4c76-8e98-93aae28417d2
Cameron Hildreth,10.778,0.389,831,2c4cbc5a-83fe-4562-afdd-859499b77aa5
Max Shulga,25.700,2.025,1157,be819393-353e-4c46-b682-d2ee0d11e736
Max Klesmit,1.774,1.387,365,ce1fc58a-6a2f-40f5-a83b-c0acdcdf2e01
Elijah Pemberton,0.667,0.222,39,0fd95fbb-b175-40e4-a6c7-4864b5678d6f
Jahlil White,2.000,5.077,227,e21b31ea-a8e5-41ad-89b1-72a56bdf59e1
Josh Christopher,6.765,2.824,966,207daaca-464a-4e71-8c77-cae31615c0e3
Jace Carter,0.000,0.750,28,d6029d99-f377-4558-8061-e383e37d162d
