Player,Total Distance (mi) Per 36 Minutes,Total Load Accelerating Per 36 Minutes,% Time Slow,% Time Fast,SSI Player ID
Josh Cohen,3.637,5076.703,62.07,12.30,e74d5547-334a-49c7-b5e5-a33913f3596c
Gabe Madsen,3.629,4772.271,60.77,9.74,7e84815b-7663-437b-8751-28d60ef2c65b
Parker Van Dyke,3.588,4945.083,58.39,11.73,b25395ca-26fc-4977-bf67-3b99e73e1048
Josiah Allick,3.569,4957.933,64.07,11.37,46de8a99-497a-49cd-a9ec-347e787439e3
Steven Ashworth,3.537,5013.854,61.91,8.37,63e0883f-eae7-4a6c-ad8f-c7670247241e
Esteban Ezequiel Roacho Amador,3.536,5040.457,63.89,9.17,2d23e4fc-8b5f-4131-af0f-83b0ae3a2c69
Dwight Murray, Jr.,3.532,5071.275,61.74,8.75,7880b823-77c5-4925-a287-1af2424a923b
Myron Gardner,3.519,4926.182,62.88,8.22,8de6d5bf-730c-4c48-8f00-7f9da72e979e
Kasparas Jakucionis,3.514,5113.286,63.85,8.03,f4881a74-343b-4005-b701-3f53c512aba6
Onno Steger,3.511,5179.353,61.85,10.71,f033b782-7e16-4a10-b000-aff290ea4400
Fousseyni Drame,3.502,5038.998,63.18,10.42,0870aa3a-22ad-4cf6-8f45-cbe6ca3f7e75
Dawson Garcia,3.501,4885.283,62.39,9.82,4aa2ea37-df6a-43f3-9838-5bb4d2e13186
Bryce Wills,3.501,4323.044,63.33,7.17,1743e5fa-bc43-42e4-92c1-fa57e57d6312
Rayan Rupert,3.487,5047.237,62.99,8.08,f99ade9a-ec49-4d41-b7f8-7e1b16c9ed79
Bez Mbeng,3.479,5063.973,62.95,8.90,117522bd-3f51-4ef9-99ae-8cf060df132b
Ethan Thompson,3.478,4725.395,63.16,7.94,e303b1cc-a268-4f85-8063-e447c757ede6
Kameron Warrens,3.473,4918.895,62.49,10.22,14a1175f-1e82-4a12-9edf-f9445dc58270
M.J. Iraldi,3.462,5017.817,63.33,9.59,bc70e8c9-c8ff-44fc-b539-10f863d5efec
Cam Carter,3.457,4967.207,64.03,7.95,a183c842-9603-4691-9abd-612235152ad2
Martez Brown,3.451,4699.866,64.39,10.66,15a40435-a0cb-41f5-8680-120339364fa1
Ray Williams, Jr.,3.449,5249.218,62.92,10.81,5b0bdabe-6c41-4fef-bcc7-518987c7451a
Jacob Toppin,3.444,4763.000,63.53,9.31,9e0abf37-2963-4f62-b8f7-104fefa58273
Jared McCain,3.442,4741.224,62.93,7.79,eb79ea6c-b337-448d-ac33-7e92219822ef
