Player,Shots,Shooting Fouls Drawn Per 100 Possessions,Rebounds Per 36 Minutes,Minutes (Total),SSI Player ID
Tristen Newton,954,3.942,5.650,1510,ea2c60f4-30d3-4154-b99e-b907b24658bf
Mac McClung,847,3.763,3.920,1221,d9671fc0-754d-4cd1-b61d-2f6526c31497
Lester Quinones,799,2.948,6.799,1276,e4c6a53d-37a8-4278-9230-5a9d9ccc6d02
Daishen Nix,923,5.276,7.912,1542,06212573-e2e8-4bfa-98cd-4484063dead1
Jules Bernard,871,3.650,7.397,1329,7c2fd9b6-9749-4ca1-8d58-b773ff9223dd
Dalano Banton,880,5.429,4.695,1150,ccd8ec3b-3e5b-4f39-9b41-91882f179a73
James Bouknight,699,2.266,5.673,1269,a4bca3d5-c8c6-408f-a4bf-22453062b4b9
Sean East II,736,2.172,3.806,1248,673bd14c-085f-4173-9211-d62ae307b0e3
R.J. Davis,687,2.736,5.163,1241,af3e4f66-d651-4875-9291-4ee32c6a65dd
Skal Labissiere,623,1.965,9.219,1211,0943dbc8-178e-4cab-97d6-3f31747698ab
Curtis Jones,748,1.710,5.986,1263,69489a71-b1eb-4fde-b687-6385e03c1e49
Sean Pedulla,710,3.061,6.096,1034,6068f2de-9744-432d-b3f4-f73da0894927
Zhaire Smith,641,3.009,5.765,1374,bf29165e-4d8e-4760-a070-5502dd6c2176
Jaden Shackelford,710,2.419,4.926,1257,dfffb2fc-160c-41a4-9a75-af0a21d2ba76
RayJ Dennis,742,3.328,5.232,1108,5c2a5944-cadb-4619-8b0d-04338c63a470
Jalen Crutcher,624,0.807,3.569,1392,938ea26e-95ff-4f3b-a385-a965af8195b4
Tyler Burton,688,3.118,6.226,1209,382afece-e02d-4ce2-92ac-92b1d2333d2c
Hunter Dickinson,612,1.448,14.805,1165,00c80505-49a6-4ed4-ae3d-decf5a59b3a2
Trey Alexander,698,3.960,5.328,1169,eae5a4b1-2701-4843-b7ed-ac8677e6446b
Kevin Knox II,640,3.110,9.410,1067,868bf1ee-0aa9-4762-a685-b32801d25e6a
Dink Pate,731,1.956,8.578,1326,dc8f2d40-88ec-44ef-b6ef-09404a5d49cd
DeAndre Williams,622,2.812,11.024,1038,d240c74d-0376-4b1e-998d-190b778ced1b
Max Abmas,629,2.784,4.494,1193,23961594-cb8d-4560-b709-2ace5a6b16a4
Jaylen Sims,638,3.826,7.246,1177,4e475993-d453-43ef-a5dc-52e715e3e5db
Keion Brooks Jr.,661,2.784,7.902,1257,088649fd-bea2-4353-a931-850c918b0337
Blake Hinson,593,2.522,6.086,929,64b12646-2555-4dd0-98eb-cb169b3ee58a
Josh Christopher,601,1.797,8.452,933,207daaca-464a-4e71-8c77-cae31615c0e3
John Tonje,614,3.313,5.806,1141,5bfe6dcb-3da9-45f9-95c0-ed690168c7ba
Tristan Enaruna,574,3.730,7.294,1007,998f2322-7dab-4353-99d7-b23e57eeb3ed
Dane Goodwin,606,1.160,5.742,1317,83cf7787-d441-4c3a-b5de-a2b2a623350b
Kyle Mangas,597,1.724,4.857,1208,509e10a3-69e7-41cc-a0b5-44de8eb4659f
DaQuan Jeffries,557,2.147,7.643,966,b969f906-aab2-4845-b038-70ec8482bed4
Malcolm Hill,596,2.323,5.595,1255,99f046d4-e2fe-495e-92e9-472b6f6a9c22
Isaac Jones,555,5.140,11.521,1000,a35d4b94-e6ff-4f4a-8f40-d64d70dd4c3a
Dexter Dennis,630,1.786,5.213,1257,b9d78738-9b74-4fdb-9c3f-bce9cb72377a
Charlie Brown Jr.,643,2.950,6.666,1226,dfa6209b-514d-438b-9c4c-bd6f1ff85613
Moses Brown,595,6.137,18.270,824,81ca845d-dae4-46b5-89e6-86d619acb3c8
Boo Buie III,625,1.617,5.622,1223,2327ad6b-a87c-4b5c-8dbb-c64690426e98
A.J. Lawson,600,3.405,5.939,976,ed39e2d6-ce65-43e5-9ea9-d579d0526a1f
Damion Baugh,668,4.287,6.663,1037,bcde43ef-a7dd-4d4d-9d7e-a0585052e0b9
Malik Williams,649,2.255,14.433,1088,91d9d39e-7ed1-4320-80fc-4d487e79b1fa
Jahmir Young,611,3.213,5.390,895,dc80c41d-ab1d-4aa4-be9f-8830d7e0dd62
Trevor Keels,591,1.398,4.124,1030,58189b84-2563-4034-984b-e61021022c4c
Jalen Bridges,592,0.807,6.136,1385,1c7e1fdd-3a9d-4509-b079-a329c993e9d4
Jaden Akins,666,1.281,4.231,1217,e6acbf72-2032-4b3f-9672-62f8052c1873
Teddy Allen,578,2.888,7.595,920,03318058-7f1e-4d54-a8b4-cbaf7e836a78
Javonte Smart,572,1.591,4.174,1035,a340ee6f-51b2-400d-8c06-295617b4c779
Kennedy Chandler,634,2.780,3.180,1245,90cef14e-ebcc-4a00-94e1-b06d8ca04701
Taevion Kinsey,596,3.019,4.113,1339,b17e9b18-8167-47ec-b96c-1a1c88208376
Stanley Umude,638,2.134,5.600,1157,73712bb9-3143-4176-8eb3-cef6d45e9f92
Alijah Martin,551,3.154,5.872,1018,c1035422-a088-42e6-8ad3-db400bb52aa1
Jayden Nunn,570,3.387,4.862,1133,174b4cc1-dd31-428b-97ad-093422ffe324
Alex Morales,539,2.073,8.741,1264,21a9c7c7-f211-4710-9932-3ecfa2fd4256
Patrick Baldwin Jr.,560,3.724,9.247,934,45b328c0-b3b8-4a36-a0c1-28e39227ca85
Alondes Williams,568,3.451,6.180,985,e555cb48-990b-4ef7-8464-59adc6adf34d
Wade Taylor IV,539,2.089,3.443,1181,d809ed56-e0c4-48ab-9cb2-e6e94a8c0842
Kendall Brown,547,1.760,6.358,1183,84863ea4-7e22-4827-9c1e-091a16291b37
Tyreke Key,507,3.183,4.112,989,a9ab59d3-2f04-49b0-b4fd-a265d98af568
Norchad Omier,517,3.473,15.950,943,15c34e0c-e636-4bd1-a7db-6435d201f8c6
Marques Bolden,521,2.545,11.958,966,95b6d616-e911-4060-869d-7f633e7ec049
Keyontae Johnson,544,4.203,7.092,827,d5348336-15a5-416f-8312-bd7030a6277b
Nate Williams,546,2.000,6.783,1014,3ab12c09-2aae-4bc0-a45e-0132e6751116
Killian Hayes,562,3.148,5.042,778,9a826fec-5df7-4a14-8637-3364dc9433c2
