Shooter,Shots Attempted,Shots Attempted Per 100 Possessions,qSI (sum) Per Game,SSI Player ID
Sean East II,192,6.417,44.286,673bd14c-085f-4173-9211-d62ae307b0e3
Max Abmas,104,3.665,10.002,23961594-cb8d-4560-b709-2ace5a6b16a4
Terrell Brown Jr.,102,3.907,-6.876,0784aa6d-2f58-4e8f-8fd0-d3cb2fd08ff8
Daishen Nix,97,2.598,-13.484,06212573-e2e8-4bfa-98cd-4484063dead1
Mark Sears,95,3.939,-1.532,6af77143-6aac-4199-ac80-bfa704e2ca51
Koby Brea,95,4.046,43.000,e2c4bc9d-2cb8-49d6-962a-07bed124b6c8
James Akinjo,92,5.086,-3.758,889010b1-1e41-4488-97c5-030be0d70083
Tristen Newton,91,2.457,8.635,ea2c60f4-30d3-4154-b99e-b907b24658bf
Javante McCoy,89,4.434,26.962,fac10e71-d936-4a9b-b017-2e3b743f9833
Trey Alexander,88,3.227,5.068,eae5a4b1-2701-4843-b7ed-ac8677e6446b
Mac McClung,87,2.822,17.022,d9671fc0-754d-4cd1-b61d-2f6526c31497
Jaelen House,86,5.222,9.125,e14de0fe-50fa-4322-a5a2-55cb2137e6f2
Curtis Jones,84,2.762,1.922,69489a71-b1eb-4fde-b687-6385e03c1e49
Dink Pate,83,2.662,-7.330,dc8f2d40-88ec-44ef-b6ef-09404a5d49cd
RayJ Dennis,83,3.036,14.938,5c2a5944-cadb-4619-8b0d-04338c63a470
Darius Brown,83,2.650,18.395,b7ae8764-a482-4551-82ac-7a91c8292e4b
Jaden Akins,80,2.770,6.962,e6acbf72-2032-4b3f-9672-62f8052c1873
R.J. Davis,79,2.668,13.419,af3e4f66-d651-4875-9291-4ee32c6a65dd
Stephen Thompson,77,2.880,-1.570,41e105ed-f146-4aef-a65b-262abde1841e
Malcolm Hill,76,2.486,-3.457,99f046d4-e2fe-495e-92e9-472b6f6a9c22
Wade Taylor IV,72,2.593,17.024,d809ed56-e0c4-48ab-9cb2-e6e94a8c0842
Isaiah Stevens,71,3.171,1.069,27b14c86-8f8d-4cd8-a8ec-bb051cd871bc
Jahmir Young,70,3.167,13.890,dc80c41d-ab1d-4aa4-be9f-8830d7e0dd62
Dalano Banton,69,2.449,-8.783,ccd8ec3b-3e5b-4f39-9b41-91882f179a73
Damion Baugh,68,2.724,-7.610,bcde43ef-a7dd-4d4d-9d7e-a0585052e0b9
MarJon Beauchamp,67,3.537,8.776,a17b838f-efcd-4d85-adab-39e05d579e13
Bryson Warren,67,3.902,-3.737,de89d563-ec4f-4356-8cba-afd95b5a975a
Evan Gilyard,66,4.072,-34.020,0f656aa8-c62c-4fad-ad9f-3442cdc15e50
Josh Christopher,66,2.892,27.203,207daaca-464a-4e71-8c77-cae31615c0e3
Jayden Nunn,66,2.456,-1.192,174b4cc1-dd31-428b-97ad-093422ffe324
Cormac Ryan,65,3.560,6.968,f3f41cea-955b-4ff5-b6fc-69991789d721
Sean Pedulla,65,2.551,-3.589,6068f2de-9744-432d-b3f4-f73da0894927
David Jones Garcia,64,5.781,-18.207,8207e744-783c-4fac-8d78-52acb829f00c
Jaylen Sims,63,2.211,-3.600,4e475993-d453-43ef-a5dc-52e715e3e5db
Boo Buie III,62,2.228,7.574,2327ad6b-a87c-4b5c-8dbb-c64690426e98
Killian Hayes,62,3.253,6.806,9a826fec-5df7-4a14-8637-3364dc9433c2
Taevion Kinsey,62,1.950,-0.478,b17e9b18-8167-47ec-b96c-1a1c88208376
Drew Peterson,62,2.652,-4.035,b385f90c-bbc7-4346-8507-4d626e2c0c61
Teddy Allen,62,2.798,-10.104,03318058-7f1e-4d54-a8b4-cbaf7e836a78
Nick Smith Jr.,62,6.037,35.805,b2d1fbf7-72be-4469-b0c2-db6677a145bd
Dane Goodwin,61,1.912,-0.483,83cf7787-d441-4c3a-b5de-a2b2a623350b
Mark Armstrong,61,3.072,-6.913,3bc6f704-0fda-4f85-a681-a41d1178948b
Keion Brooks Jr.,61,2.046,1.486,088649fd-bea2-4353-a931-850c918b0337
Ahmad Caver,60,3.075,-6.855,b37bbd3b-102d-42c2-9bfe-7874d64e9068
TyTy Washington Jr.,59,3.418,51.489,0b1c2f8c-380e-4f07-85b0-3b5ff4650d00
Jon Elmore,59,2.216,-8.237,65bebd10-aa65-48ec-845f-2efcb122287a
Jarkel Joiner,59,2.570,-10.931,994212e5-17be-4696-bd46-0efcd68787bc
Chance McMillian,58,3.219,20.013,d40fdb50-4ea9-488f-85e3-aa57164f9d0a
Kyle Mangas,58,2.040,-11.638,509e10a3-69e7-41cc-a0b5-44de8eb4659f
Lester Quinones,56,1.834,5.725,e4c6a53d-37a8-4278-9230-5a9d9ccc6d02
Dwight Murray, Jr.,53,2.469,-15.363,7880b823-77c5-4925-a287-1af2424a923b
