Player,Offensive Rebound Percentage,Defensive Rebound Percentage,Crash,Conversion+,RAP+,SSI Player ID
Hunter Dickinson,11.98,25.08,-0.834,19.220,4.246,00c80505-49a6-4ed4-ae3d-decf5a59b3a2
Harrison Ingram,10.34,26.08,1.731,21.308,8.887,289b86f4-5aea-4603-a5e7-54793e5eb584
Malik Williams,9.57,26.99,-0.766,9.819,4.250,91d9d39e-7ed1-4320-80fc-4d487e79b1fa
Moses Brown,21.87,22.86,-2.952,9.175,2.822,81ca845d-dae4-46b5-89e6-86d619acb3c8
Norchad Omier,18.92,24.11,-0.044,8.515,5.531,15c34e0c-e636-4bd1-a7db-6435d201f8c6
Andersson Garcia,16.65,30.22,1.735,11.577,8.834,9b93509f-b8d1-4066-ba4c-6338fed2a84f
Rocco Zikarsky,11.33,23.98,-3.818,10.121,0.529,7a36a328-5e4b-42b6-a21b-39e9f97e0188
Alize Johnson,9.20,25.36,1.874,16.979,6.984,c97ec77d-b190-477c-8f04-2d8be4554830
Oscar Tshiebwe,25.79,35.44,-1.505,17.286,12.724,9234048a-d7a7-4f77-8d48-3b95b6365ae0
Daishen Nix,4.66,18.01,0.857,13.771,3.055,06212573-e2e8-4bfa-98cd-4484063dead1
CJ Huntley,12.63,21.38,-1.491,9.893,1.352,a93dac29-3dee-4328-8787-673c2c4d207c
Zach Freemantle,8.94,18.25,-0.427,8.106,1.091,aaa72835-bf87-4903-8432-953c82e91876
Giorgi Bezhanishvili,10.69,15.61,-2.753,3.282,-1.928,4d0b25c0-eb2c-423a-875e-ba9f74999bdf
Gabe Levin,15.57,24.83,-1.064,9.048,4.284,154a9e91-a046-4e1d-bd25-0fdf6dc87f45
Mouhamadou Gueye,9.85,16.57,0.334,18.127,2.820,cc3ddd0b-2be3-4043-a3e9-7ae15f6e1ab0
Isaac Jones,10.94,20.91,0.549,13.232,4.009,a35d4b94-e6ff-4f4a-8f40-d64d70dd4c3a
Marques Bolden,8.22,21.15,-1.027,17.677,2.593,95b6d616-e911-4060-869d-7f633e7ec049
Enrique Freeman,9.04,17.69,1.318,16.298,2.878,f838df3f-72c5-4cf1-a555-7182e3dccd13
DeAndre Williams,11.14,18.21,0.716,16.602,3.930,d240c74d-0376-4b1e-998d-190b778ced1b
Josh Oduro,11.84,15.58,-0.968,11.729,1.913,8356850f-e674-4868-8a3b-7cf5b6193dce
PJ Hall,13.57,25.35,-2.794,13.744,4.297,4af59bef-250a-46aa-a5d3-e448a55f61ad
Dink Pate,3.75,18.97,1.346,9.855,3.502,dc8f2d40-88ec-44ef-b6ef-09404a5d49cd
Andrew Carr,8.56,20.36,-0.720,11.835,2.972,d2f39898-17d1-4d74-bfca-1719672b051a
Skal Labissiere,8.50,17.14,-0.865,13.808,1.479,0943dbc8-178e-4cab-97d6-3f31747698ab
Coleman Hawkins,8.06,17.64,0.104,18.988,2.559,769be316-e69b-4438-a859-7fbbad08accf
Jeremiah Robinson-Earl,10.76,22.65,1.709,16.042,5.771,1a9ac6bd-8b02-4fe8-8096-c435a2a90100
Amari Williams,13.98,26.36,-1.319,12.798,3.859,7f8f2047-20da-4fde-b1c4-e046ef5d94f1
