Shooter,Shots Attempted,Shots Attempted Per 100 Possessions,qSI (sum) Per Game,Points Per Possession,SSI Player ID
Mouhamadou Gueye,116,4.076,-0.777,1.793,cc3ddd0b-2be3-4043-a3e9-7ae15f6e1ab0
CJ Huntley,102,4.421,15.497,1.873,a93dac29-3dee-4328-8787-673c2c4d207c
Jamarion Sharp,100,5.157,29.270,1.899,02b5523f-9555-42f2-b2a7-3ba79ce5e959
Zhaire Smith,94,2.829,3.457,1.702,bf29165e-4d8e-4760-a070-5502dd6c2176
Isaih Moore,94,5.293,11.091,1.894,ea2cbcac-0b28-454f-a3f7-a30bb1d6fbb1
Moses Brown,91,4.577,30.131,2.022,81ca845d-dae4-46b5-89e6-86d619acb3c8
Skal Labissiere,81,2.894,7.339,1.951,0943dbc8-178e-4cab-97d6-3f31747698ab
Isaac Jones,81,3.385,15.103,1.913,a35d4b94-e6ff-4f4a-8f40-d64d70dd4c3a
Efe Abogidi,80,3.257,4.437,1.875,2a962d8e-05d1-4d9c-ae45-e128f2ae9c81
Kylor Kelley,77,4.672,-2.693,1.844,08d8e7a7-6e98-43fb-808a-803728ffe738
Tristan Enaruna,77,3.191,9.648,1.816,998f2322-7dab-4353-99d7-b23e57eeb3ed
Tomas Chapero,77,3.636,5.759,1.779,5909ae5b-81cc-4f42-adb1-912f0c19edfc
Samson Johnson,76,5.177,-5.188,1.750,68596e1c-c815-41b9-ae9b-a8179fee1f36
Norchad Omier,75,3.297,7.271,1.813,15c34e0c-e636-4bd1-a7db-6435d201f8c6
Rocco Zikarsky,74,3.320,16.432,1.946,7a36a328-5e4b-42b6-a21b-39e9f97e0188
Kendall Brown,67,2.407,12.170,1.925,84863ea4-7e22-4827-9c1e-091a16291b37
Hason Ward,66,3.335,12.835,1.924,99828648-af70-4757-ac4f-8f3e6c8364f5
Alex Fudge,63,4.526,3.366,1.794,1f5a0d41-0c51-4353-9d7a-503196852e33
William Baker,63,4.051,12.493,1.857,dc9d21e3-68f0-4270-a358-8e68da5bbafc
Olivier Sarr,63,2.878,5.449,1.905,584a880d-84b9-40fd-876e-852044392606
Phillip Wheeler,61,2.905,-0.482,1.803,3d20e735-543b-415b-835b-fa80295fa157
Cameron Matthews,61,1.968,3.123,1.967,2b3321e5-dc2b-4c37-9ee5-36336690c3ec
David Muoka,60,4.121,-1.438,1.783,c5a7468d-b9c2-4814-a823-b9bf4a58358f
Mo Bamba,60,4.702,17.723,1.966,ee761e41-d0d2-4a56-84cf-353e2ae5a961
PJ Hall,60,3.286,8.793,1.983,4af59bef-250a-46aa-a5d3-e448a55f61ad
Christian Shumate,59,2.822,-1.308,1.712,40ebb929-1947-4008-9cdc-046aa3a4bd87
Dain Dainja,58,2.663,6.634,1.914,3d560bd7-c964-492e-97b7-12c4feda4079
Tyler Smith,58,3.229,-2.438,1.875,b701694c-6da2-49de-b9a7-ae092466ce67
John Ukomadu,56,2.233,0.543,1.786,b4f22d30-f720-4880-9fc3-a7a1f5679086
Nick Jourdain,55,2.696,2.828,1.927,1faa4121-7c60-4b48-91c7-217d64555324
Derek Ogbeide,55,3.578,5.379,1.873,4f5b0cc7-0740-4ebb-8b37-c464b1f421f3
Josh Oduro,53,2.075,-1.082,1.868,8356850f-e674-4868-8a3b-7cf5b6193dce
Ja'Vier Francis,53,3.464,5.804,1.925,426de6ba-834c-455a-8c94-9656ad089275
Chaney Johnson,53,2.681,5.924,1.981,4007e9ee-5f46-4b39-9d77-0001aa54f1f4
Lawson Lovering,51,3.080,10.545,1.784,ee296dd9-8d26-420c-9aa1-271f6b6a2222
Liam Robbins,51,4.236,-8.475,1.706,831eb28e-7713-4fbe-bf6b-dd0e1e20b1f5
DeAndre Williams,50,1.980,-1.153,1.880,d240c74d-0376-4b1e-998d-190b778ced1b
RJ Melendez,49,2.394,-1.524,1.796,090cc6af-edb2-4cf8-a374-9b90193c330d
Keion Brooks Jr.,49,1.644,4.559,1.939,088649fd-bea2-4353-a931-850c918b0337
Dexter Dennis,48,1.649,-7.553,1.625,b9d78738-9b74-4fdb-9c3f-bce9cb72377a
Asa Newell,48,5.156,15.986,1.979,eb38ea24-c68c-4f72-9a55-2e397b4f0124
Warith Alatishe,47,3.403,1.837,1.872,ef3f7448-40b8-4701-8feb-456aaa4d1c6e
Marques Bolden,45,1.975,3.677,1.867,95b6d616-e911-4060-869d-7f633e7ec049
Tyrese Samuel,45,2.809,10.713,2.067,f4159312-f59d-46f6-a72d-afb990d1e80a
Tolu Smith,44,2.803,4.718,1.909,dea8af5c-b86c-4445-b191-20c7806e6a4e
Jonathan Mogbo,44,2.955,1.102,1.932,12f2cb53-d3a1-4a42-b6ed-9238a8eab4f7
Dylan Cardwell,43,4.489,-4.916,1.837,fb79aa4f-8468-454c-80db-1768d95b4e42
D.J. Carton,41,1.825,-1.887,1.707,b902fc9f-4b1a-417f-8af7-bfa5c66c95a3
Akoldah Gak,41,2.939,-6.925,1.659,e6e552fd-83e6-4bb7-b80a-9b0bae80ad1c
Chris Livingston,40,2.133,-0.001,1.872,f79d533e-f423-4752-a088-6d507d795bdb
Vladislav Goldin,40,2.784,10.517,1.800,0d1efd50-8b55-402c-af4a-3400a0ecf19e
John Butler Jr.,39,1.442,3.698,1.923,16110c22-e5e0-4925-94a9-959285132aeb
Charles Bassey,39,3.186,8.270,1.846,089bae1f-5cd7-438c-8ebb-061918727a25
Ibou Badji,39,4.372,1.207,1.789,9e3a3a92-a664-48f7-97d2-0f8f27735dbd
Moussa Cisse,39,5.006,17.609,1.897,b4769ff6-6ae9-446a-a262-0b849da72338
Basheer Jihad,38,1.888,-2.056,1.842,bd9b1fa0-957f-4365-8af3-a545d525965b
Joan Beringer,38,5.697,5.951,1.892,325d465a-ead8-4773-875c-a3fd83d18f23
Gabe McGlothan,38,1.782,5.677,1.895,32f54c28-47c6-4d3c-8364-c3956aef7190
LJ Figueroa,37,1.675,0.327,2.027,629382e8-fcc6-4974-b0a3-99fd67940f2d
Taevion Kinsey,37,1.164,-4.634,1.838,b17e9b18-8167-47ec-b96c-1a1c88208376
Kessler Edwards,37,1.800,-5.652,1.649,0dbaa8bb-491d-40b7-ad09-f4605dda699c
DaQuan Jeffries,37,1.655,10.448,2.000,b969f906-aab2-4845-b038-70ec8482bed4
Patrick Baldwin Jr.,37,1.701,6.590,2.000,45b328c0-b3b8-4a36-a0c1-28e39227ca85
Arthur Kaluma,37,1.900,4.913,1.946,c7a03fd4-8ba5-4f9e-b62d-db9492da6f1c
Jaylin Williams,36,1.550,4.860,1.917,db384374-d594-45b6-a3de-9aa8a66dc226
Trevon Scott,36,1.512,2.601,2.000,fc067294-4b2b-42aa-bea6-88cda36ce6d2
Jalen Slawson,35,1.441,6.652,1.943,ee32b868-f2aa-47fd-bc12-e2df467173a0
Terrence Hargrove Jr.,34,1.925,2.209,1.882,06c40ea5-9150-470e-8f6a-7cde4a102ef6
Yanic Konan Niederhauser,34,6.759,3.943,1.647,c4c0b9a3-5f7e-4611-977b-e0d73c08a29c
Amari Williams,32,1.886,0.594,1.813,7f8f2047-20da-4fde-b1c4-e046ef5d94f1
Keyontae Johnson,32,1.564,6.062,1.969,d5348336-15a5-416f-8312-bd7030a6277b
Kalib Boone,31,3.122,0.739,1.774,57657681-6e1c-4701-8298-93f30846effc
John Tonje,30,1.092,-1.506,1.800,5bfe6dcb-3da9-45f9-95c0-ed690168c7ba
Bobi Klintman,30,2.094,-5.608,1.800,61c18542-cf37-49c7-b486-337bb809d326
Donovan Williams,29,1.483,1.439,1.862,12136b74-23d8-49b4-b4de-98a320969c76
James Banks III,29,1.760,-1.384,1.759,f4a998d1-4507-43b9-91e3-832dde032d54
Anton Watson,29,1.042,1.267,1.862,8cb4b74b-84e9-40e3-9a3a-a7dd7be9767b
Drew Cisse,28,1.903,3.682,2.000,4943e7dd-a830-4c29-bd39-a8b168bf00b9
Daeqwon Plowden,28,1.318,8.123,1.821,daca4b6a-526f-49e8-a02e-ba59acb77846
Charlie Brown Jr.,27,0.905,-4.714,1.704,dfa6209b-514d-438b-9c4c-bd6f1ff85613
Malevy Leons,27,1.184,-0.163,1.741,a6b91d1a-7a93-4bda-8562-d762d1f5ad47
Coleman Hawkins,27,1.003,-1.183,1.769,769be316-e69b-4438-a859-7fbbad08accf
Andrew Carr,26,1.036,5.362,1.923,d2f39898-17d1-4d74-bfca-1719672b051a
Josh Christopher,26,1.139,-1.612,1.769,207daaca-464a-4e71-8c77-cae31615c0e3
Matthew Murrell,26,1.026,-1.702,1.923,42aff9d8-9839-4949-ac9d-97663c8eae23
DaRon Holmes II,26,1.643,10.330,2.038,33ee598f-dbec-467d-982c-9722af3b3261
Malik Williams,26,0.994,4.402,2.000,91d9d39e-7ed1-4320-80fc-4d487e79b1fa
Keyshawn Bryant,26,2.700,-4.388,1.500,8bfb0e3f-2c04-4dd5-ab0d-c7bf453b1ed5
Kevin Knox II,26,0.963,3.501,1.846,868bf1ee-0aa9-4762-a685-b32801d25e6a
Dalano Banton,26,0.923,0.429,1.923,ccd8ec3b-3e5b-4f39-9b41-91882f179a73
Zack Austin,25,2.248,9.308,1.760,cdb9a6bd-2259-43bc-9209-03da5b72234b
Grant Nelson,25,3.226,13.061,2.000,c4012fed-7c3d-4171-a8c7-3432c061c9d7
Alondes Williams,25,1.079,-2.042,1.840,e555cb48-990b-4ef7-8464-59adc6adf34d
Gabe Levin,25,1.428,0.142,1.920,154a9e91-a046-4e1d-bd25-0fdf6dc87f45
Adou Thiero,25,5.447,25.949,2.040,9b945fc0-d3bb-405d-bf43-95c6e7d7e87b
Colin Castleton,25,2.203,7.374,1.920,cb160212-66c3-46cf-8728-c0d6612456f8
Zach Freemantle,24,0.912,0.295,1.833,aaa72835-bf87-4903-8432-953c82e91876
Oscar Tshiebwe,24,1.848,3.472,1.667,9234048a-d7a7-4f77-8d48-3b95b6365ae0
MarJon Beauchamp,24,1.267,-3.422,1.667,a17b838f-efcd-4d85-adab-39e05d579e13
Hunter Sallis,24,1.215,2.584,2.000,6d6c60fb-827b-4b00-9033-8fb8a4fb0f32
Khaman Maluach,24,3.593,15.592,2.000,d4dcccfe-9470-4fef-bac2-e9f6aa1cfd32
Jayson Kent,23,0.862,-0.904,1.913,dc854637-bbf4-4710-94b5-8c953db3ce27
Kendall Munson,23,1.402,-4.459,1.565,11a2c3b6-617d-4889-ac4c-dc3821c6375a
Matthew Cleveland,23,1.191,3.053,1.870,45913c55-0376-4b4f-9935-00471ffb3033
Johni Broome,23,1.283,-1.543,1.739,12c34cc3-1005-4454-bcfa-a5332744fd4c
Jordan Minor,23,1.874,-0.487,1.739,ec389395-e86e-494f-ae34-b2b08a74437b
Luke Travers,22,2.151,0.422,1.909,ef24e628-6674-47d2-8fea-a8ceb61e0fb6
Kobe Stewart,22,1.254,-2.090,1.545,9c8748fc-6d1c-4911-99a0-94e1cf486b48
Martez Brown,21,1.804,-2.574,1.857,15a40435-a0cb-41f5-8680-120339364fa1
Tyler Burton,21,0.712,-1.165,1.381,382afece-e02d-4ce2-92ac-92b1d2333d2c
Igor Milicic, Jr.,21,1.333,1.237,1.714,96e51137-1852-4b4b-8809-7d07d81b22a8
Aminu Mohammed,21,1.882,-2.210,1.810,6abaacf2-5a3c-4c72-b19c-2a645dd84022
Steve Settle III,21,1.068,2.244,1.714,f52af8fd-29ee-4aa7-9c70-e211a5d73a12
Isaiah Roby,21,1.167,1.049,1.667,19602b62-cfbe-4d35-81f5-bc244327960e
Trey Jemison III,21,1.284,3.115,2.000,48e06536-9d6f-4027-9d17-ec477a9ae3a2
