Shooter,Shots Attempted,Shots Attempted Per 100 Possessions,qSI (sum) Per Game,Points Per Possession,SSI Player ID
Julian Phillips,16,10.667,-154.268,1.438,76ada8a1-6ec8-4915-b57e-fa234b1f2788
Olivier-Maxence Prosper,16,9.639,-48.716,1.625,28df8a9e-306a-47ee-bb0e-55b9ea87d542
Leonard Miller,5,7.692,216.388,2.600,0eaefaeb-b40c-4fc7-9086-902dc1ab2254
Dalen Terry,15,7.538,126.662,1.667,8fc64d15-1d47-47e1-bb04-d03f75dccc5a
Will Riley,19,7.451,20.877,1.421,3fb6c927-c443-46a9-aecb-1105dfb05233
Jae'Sean Tate,3,7.143,54.662,1.333,80383c81-b671-4a11-b003-ae08fba34eb8
Chandler Baker,11,6.875,-30.153,0.909,db071247-1883-4852-b647-0b794ee7cdee
Jared McCain,11,6.707,-52.014,1.182,eb79ea6c-b337-448d-ac33-7e92219822ef
P.J. Hayes,1,6.667,-54.478,0.000,659ecb80-2665-4645-b890-ef69b738b5e3
Tyrese Martin,16,6.452,25.606,1.438,1d3ff68e-d714-4f70-b952-02cf2252e990
A.J. Lawson,152,6.389,-11.711,1.428,ed39e2d6-ce65-43e5-9ea9-d579d0526a1f
Antonio Reeves,142,6.353,9.344,1.599,19004e0e-7982-4513-bdba-24e11e49d49d
Robert Woodard II,4,6.349,-51.680,0.500,9bedc1b4-449c-42cb-b9a2-9b0cd3596329
Isaiah Moore,1,6.250,48.006,3.000,ffd1ae3a-bd10-436e-a214-71a0761663e4
Teddy Allen,133,6.002,23.115,1.496,03318058-7f1e-4d54-a8b4-cbaf7e836a78
MarJon Beauchamp,112,5.913,6.090,1.518,a17b838f-efcd-4d85-adab-39e05d579e13
Parker Van Dyke,2,5.882,200.990,3.000,b25395ca-26fc-4977-bf67-3b99e73e1048
Justin Edwards,23,5.779,-2.612,1.522,c2b8cc6a-c87c-4dc5-bfea-c4630c2b6f3e
Josh Christopher,131,5.741,21.695,1.618,207daaca-464a-4e71-8c77-cae31615c0e3
Lance Terry,23,5.736,26.870,1.739,2c5a45b8-029d-4556-9186-221becde7ae7
LJ Figueroa,126,5.704,23.247,1.817,629382e8-fcc6-4974-b0a3-99fd67940f2d
Craig Randall II,34,5.676,-37.986,1.029,57c94d1b-101e-4b0a-afc5-d9716233e92d
Kendall Brown,153,5.496,19.058,1.556,84863ea4-7e22-4827-9c1e-091a16291b37
Tyrese Proctor,3,5.455,126.790,2.667,27207fcd-251c-4d7b-8d11-48823d8dab1b
Adou Thiero,25,5.447,20.830,1.640,9b945fc0-d3bb-405d-bf43-95c6e7d7e87b
Keyshawn Bryant,52,5.400,13.839,1.538,8bfb0e3f-2c04-4dd5-ab0d-c7bf453b1ed5
AJ Johnson,41,5.339,-7.157,1.390,2b0ac9c2-0fa5-4ee6-9881-03b737e11dc3
Kobe Stewart,92,5.242,22.606,1.511,9c8748fc-6d1c-4911-99a0-94e1cf486b48
Walter Clayton Jr.,7,5.224,8.180,1.000,ae81ff91-c142-4a68-b826-4ae75af6a94f
Keyontae Johnson,105,5.132,5.496,1.581,d5348336-15a5-416f-8312-bd7030a6277b
Dalano Banton,144,5.110,-3.825,1.438,ccd8ec3b-3e5b-4f39-9b41-91882f179a73
David Jones Garcia,56,5.059,8.867,1.464,8207e744-783c-4fac-8d78-52acb829f00c
Chris Livingston,94,5.013,11.684,1.670,f79d533e-f423-4752-a088-6d507d795bdb
Blake Hinson,117,5.002,12.520,1.444,64b12646-2555-4dd0-98eb-cb169b3ee58a
Quincy Olivari,60,4.996,21.933,1.433,cbbbce73-763b-4e1d-820b-1b8f62857eaa
